event_id,year,method,mask_id,scenario_family,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r009,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P005,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r009,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P006,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r009,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-23T00:00:00,-3,3,True,True,True,21.421247482299805,-39.473652517700195,39.473652517700195,1.3820557806495721,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r009,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r009,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-17T00:00:00,-9,9,False,True,True,28.175069808959961,-32.719830191040039,32.719830191040039,1.1455902246979073,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r009,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-17T00:00:00,5,5,True,True,True,6.4854779243469238,-5.0219220756530767,5.0219220756530767,0.17582807751362359,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r010,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P005,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r010,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P006,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r010,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T00:00:00,-5,5,True,True,True,21.742885589599609,-39.15201441040039,39.15201441040039,1.3707945525361729,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r010,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r010,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-17T00:00:00,-9,9,False,True,True,28.279186248779297,-32.615713751220703,32.615713751220703,1.1419448886741268,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r010,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-17T00:00:00,5,5,True,True,True,6.512324333190918,-4.9950756668090825,4.9950756668090825,0.17488812815079513,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r011,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P005,2019-08-22T00:00:00,-4,4,True,True,True,25.7562,-35.1387,35.1387,1.2302799554141823,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r011,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P006,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r011,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-19T12:00:00,-6.5,6.5,False,True,True,19.382123947143555,-41.512776052856445,41.512776052856445,1.4534497938576887,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r011,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r011,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-16T00:00:00,-10,10,False,True,True,28.126426696777344,-32.768473303222656,32.768473303222656,1.1472933225896118,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r011,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-18T00:00:00,6,6,False,True,True,6.4852137565612793,-5.0221862434387212,5.0221862434387212,0.17583732658463488,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r012,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r012,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r012,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T00:00:00,-5,5,True,True,True,21.905635833740234,-38.989264166259765,38.989264166259765,1.3650963234296614,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r012,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r012,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-18T00:00:00,-8,8,False,True,True,27.724685668945312,-33.170214331054687,33.170214331054687,1.1613591227987612,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r012,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-20T00:00:00,8,8,False,True,True,6.5694065093994141,-4.9379934906005865,4.9379934906005865,0.17288956083894999,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r013,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r013,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r013,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-20T12:00:00,-5.5,5.5,False,True,True,21.126308441162109,-39.76859155883789,39.76859155883789,1.3923822181780177,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r013,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r013,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.182304382324219,-32.712595617675781,32.712595617675781,1.1453369270347604,ok,,ok,
