year,scenario_id,p_seapar,mapped_coarse_smoothing,full_extended_index,central_year_index,peak_time,common_support_segment_id,inside_frozen_common_support
2020,B1_2020_p_seapar_0.1,0.10000000000000001,5900,618,253,2020-09-09,2020_segment_2,True
2020,B1_2020_p_seapar_0.2,0.20000000000000001,10800,467,102,2020-04-11,2020_segment_2,True
2020,B1_2020_p_seapar_0.2,0.20000000000000001,10800,615,250,2020-09-06,2020_segment_2,True
2020,B1_2020_p_seapar_0.3,0.29999999999999999,15700,467,102,2020-04-11,2020_segment_2,True
2020,B1_2020_p_seapar_0.3,0.29999999999999999,15700,614,249,2020-09-05,2020_segment_2,True
2020,B1_2020_p_seapar_0.4,0.40000000000000002,20600,467,102,2020-04-11,2020_segment_2,True
2020,B1_2020_p_seapar_0.4,0.40000000000000002,20600,613,248,2020-09-04,2020_segment_2,True
2020,B1_2020_p_seapar_0.5,0.5,25500,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_0.5,0.5,25500,613,248,2020-09-04,2020_segment_2,True
2020,B1_2020_p_seapar_0.6,0.59999999999999998,30400,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_0.6,0.59999999999999998,30400,612,247,2020-09-03,2020_segment_2,True
2020,B1_2020_p_seapar_0.7,0.69999999999999996,35300,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_0.7,0.69999999999999996,35300,612,247,2020-09-03,2020_segment_2,True
2020,B1_2020_p_seapar_0.8,0.80000000000000004,40200,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_0.8,0.80000000000000004,40200,612,247,2020-09-03,2020_segment_2,True
2020,B1_2020_p_seapar_0.9,0.90000000000000002,45100,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_0.9,0.90000000000000002,45100,612,247,2020-09-03,2020_segment_2,True
2020,B1_2020_p_seapar_1.0,1,50000,466,101,2020-04-10,,False
2020,B1_2020_p_seapar_1.0,1,50000,612,247,2020-09-03,2020_segment_2,True
2021,B1_2021_p_seapar_0.0,0,1000,460,95,2021-04-05,2021_segment_1,True
2021,B1_2021_p_seapar_0.0,0,1000,587,222,2021-08-10,2021_segment_1,True
2021,B1_2021_p_seapar_0.1,0.10000000000000001,5900,458,93,2021-04-03,2021_segment_1,True
2021,B1_2021_p_seapar_0.1,0.10000000000000001,5900,589,224,2021-08-12,2021_segment_1,True
2021,B1_2021_p_seapar_0.2,0.20000000000000001,10800,456,91,2021-04-01,2021_segment_1,True
2021,B1_2021_p_seapar_0.2,0.20000000000000001,10800,589,224,2021-08-12,2021_segment_1,True
2021,B1_2021_p_seapar_0.3,0.29999999999999999,15700,454,89,2021-03-30,2021_segment_1,True
2021,B1_2021_p_seapar_0.3,0.29999999999999999,15700,590,225,2021-08-13,2021_segment_1,True
2021,B1_2021_p_seapar_0.4,0.40000000000000002,20600,452,87,2021-03-28,2021_segment_1,True
2021,B1_2021_p_seapar_0.4,0.40000000000000002,20600,590,225,2021-08-13,2021_segment_1,True
2021,B1_2021_p_seapar_0.5,0.5,25500,451,86,2021-03-27,2021_segment_1,True
2021,B1_2021_p_seapar_0.5,0.5,25500,590,225,2021-08-13,2021_segment_1,True
2021,B1_2021_p_seapar_0.6,0.59999999999999998,30400,450,85,2021-03-26,2021_segment_1,True
2021,B1_2021_p_seapar_0.6,0.59999999999999998,30400,591,226,2021-08-14,2021_segment_1,True
2021,B1_2021_p_seapar_0.7,0.69999999999999996,35300,449,84,2021-03-25,2021_segment_1,True
2021,B1_2021_p_seapar_0.7,0.69999999999999996,35300,591,226,2021-08-14,2021_segment_1,True
2021,B1_2021_p_seapar_0.8,0.80000000000000004,40200,448,83,2021-03-24,2021_segment_1,True
2021,B1_2021_p_seapar_0.8,0.80000000000000004,40200,591,226,2021-08-14,2021_segment_1,True
2021,B1_2021_p_seapar_0.9,0.90000000000000002,45100,447,82,2021-03-23,2021_segment_1,True
2021,B1_2021_p_seapar_0.9,0.90000000000000002,45100,591,226,2021-08-14,2021_segment_1,True
2021,B1_2021_p_seapar_1.0,1,50000,446,81,2021-03-22,2021_segment_1,True
2021,B1_2021_p_seapar_1.0,1,50000,591,226,2021-08-14,2021_segment_1,True
2022,B1_2022_p_seapar_0.0,0,1000,441,76,2022-03-17,,False
2022,B1_2022_p_seapar_0.0,0,1000,580,215,2022-08-03,2022_segment_1,True
2022,B1_2022_p_seapar_0.1,0.10000000000000001,5900,443,78,2022-03-19,,False
2022,B1_2022_p_seapar_0.1,0.10000000000000001,5900,583,218,2022-08-06,2022_segment_1,True
2022,B1_2022_p_seapar_0.2,0.20000000000000001,10800,444,79,2022-03-20,,False
2022,B1_2022_p_seapar_0.2,0.20000000000000001,10800,584,219,2022-08-07,2022_segment_1,True
2022,B1_2022_p_seapar_0.3,0.29999999999999999,15700,445,80,2022-03-21,,False
2022,B1_2022_p_seapar_0.3,0.29999999999999999,15700,584,219,2022-08-07,2022_segment_1,True
2022,B1_2022_p_seapar_0.4,0.40000000000000002,20600,446,81,2022-03-22,,False
2022,B1_2022_p_seapar_0.4,0.40000000000000002,20600,585,220,2022-08-08,2022_segment_1,True
2022,B1_2022_p_seapar_0.5,0.5,25500,448,83,2022-03-24,,False
2022,B1_2022_p_seapar_0.5,0.5,25500,585,220,2022-08-08,2022_segment_1,True
2022,B1_2022_p_seapar_0.6,0.59999999999999998,30400,450,85,2022-03-26,,False
2022,B1_2022_p_seapar_0.6,0.59999999999999998,30400,586,221,2022-08-09,2022_segment_1,True
2022,B1_2022_p_seapar_0.7,0.69999999999999996,35300,453,88,2022-03-29,,False
2022,B1_2022_p_seapar_0.7,0.69999999999999996,35300,586,221,2022-08-09,2022_segment_1,True
2022,B1_2022_p_seapar_0.8,0.80000000000000004,40200,455,90,2022-03-31,,False
2022,B1_2022_p_seapar_0.8,0.80000000000000004,40200,586,221,2022-08-09,2022_segment_1,True
2022,B1_2022_p_seapar_0.9,0.90000000000000002,45100,458,93,2022-04-03,,False
2022,B1_2022_p_seapar_0.9,0.90000000000000002,45100,586,221,2022-08-09,2022_segment_1,True
2022,B1_2022_p_seapar_1.0,1,50000,461,96,2022-04-06,,False
2022,B1_2022_p_seapar_1.0,1,50000,586,221,2022-08-09,2022_segment_1,True
2023,B1_2023_p_seapar_0.0,0,1000,441,76,2023-03-17,,False
2023,B1_2023_p_seapar_0.0,0,1000,575,210,2023-07-29,2023_segment_1,True
2023,B1_2023_p_seapar_0.1,0.10000000000000001,5900,443,78,2023-03-19,,False
2023,B1_2023_p_seapar_0.1,0.10000000000000001,5900,587,222,2023-08-10,2023_segment_1,True
2023,B1_2023_p_seapar_0.2,0.20000000000000001,10800,443,78,2023-03-19,,False
2023,B1_2023_p_seapar_0.2,0.20000000000000001,10800,591,226,2023-08-14,2023_segment_1,True
2023,B1_2023_p_seapar_0.3,0.29999999999999999,15700,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.3,0.29999999999999999,15700,594,229,2023-08-17,2023_segment_1,True
2023,B1_2023_p_seapar_0.4,0.40000000000000002,20600,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.4,0.40000000000000002,20600,596,231,2023-08-19,2023_segment_1,True
2023,B1_2023_p_seapar_0.5,0.5,25500,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.5,0.5,25500,597,232,2023-08-20,2023_segment_1,True
2023,B1_2023_p_seapar_0.6,0.59999999999999998,30400,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.6,0.59999999999999998,30400,598,233,2023-08-21,2023_segment_1,True
2023,B1_2023_p_seapar_0.7,0.69999999999999996,35300,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.7,0.69999999999999996,35300,599,234,2023-08-22,2023_segment_1,True
2023,B1_2023_p_seapar_0.8,0.80000000000000004,40200,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.8,0.80000000000000004,40200,600,235,2023-08-23,2023_segment_1,True
2023,B1_2023_p_seapar_0.9,0.90000000000000002,45100,444,79,2023-03-20,,False
2023,B1_2023_p_seapar_0.9,0.90000000000000002,45100,601,236,2023-08-24,2023_segment_1,True
2023,B1_2023_p_seapar_1.0,1,50000,443,78,2023-03-19,,False
2023,B1_2023_p_seapar_1.0,1,50000,601,236,2023-08-24,2023_segment_1,True
2024,B1_2024_p_seapar_0.0,0,1000,426,61,2024-03-01,,False
2024,B1_2024_p_seapar_0.0,0,1000,611,246,2024-09-02,2024_segment_1,True
2024,B1_2024_p_seapar_0.1,0.10000000000000001,5900,428,63,2024-03-03,,False
2024,B1_2024_p_seapar_0.1,0.10000000000000001,5900,607,242,2024-08-29,2024_segment_1,True
2024,B1_2024_p_seapar_0.2,0.20000000000000001,10800,436,71,2024-03-11,,False
2024,B1_2024_p_seapar_0.2,0.20000000000000001,10800,606,241,2024-08-28,2024_segment_1,True
2024,B1_2024_p_seapar_0.3,0.29999999999999999,15700,443,78,2024-03-18,,False
2024,B1_2024_p_seapar_0.3,0.29999999999999999,15700,605,240,2024-08-27,2024_segment_1,True
2024,B1_2024_p_seapar_0.4,0.40000000000000002,20600,449,84,2024-03-24,,False
2024,B1_2024_p_seapar_0.4,0.40000000000000002,20600,605,240,2024-08-27,2024_segment_1,True
2024,B1_2024_p_seapar_0.5,0.5,25500,455,90,2024-03-30,,False
2024,B1_2024_p_seapar_0.5,0.5,25500,604,239,2024-08-26,2024_segment_1,True
2024,B1_2024_p_seapar_0.6,0.59999999999999998,30400,461,96,2024-04-05,,False
2024,B1_2024_p_seapar_0.6,0.59999999999999998,30400,604,239,2024-08-26,2024_segment_1,True
2024,B1_2024_p_seapar_0.7,0.69999999999999996,35300,467,102,2024-04-11,,False
2024,B1_2024_p_seapar_0.7,0.69999999999999996,35300,604,239,2024-08-26,2024_segment_1,True
2024,B1_2024_p_seapar_0.8,0.80000000000000004,40200,473,108,2024-04-17,2024_segment_1,True
2024,B1_2024_p_seapar_0.8,0.80000000000000004,40200,604,239,2024-08-26,2024_segment_1,True
2024,B1_2024_p_seapar_0.9,0.90000000000000002,45100,604,239,2024-08-26,2024_segment_1,True
2024,B1_2024_p_seapar_1.0,1,50000,604,239,2024-08-26,2024_segment_1,True
2025,B1_2025_p_seapar_0.0,0,1000,419,54,2025-02-23,,False
2025,B1_2025_p_seapar_0.0,0,1000,592,227,2025-08-15,2025_segment_1,True
2025,B1_2025_p_seapar_0.1,0.10000000000000001,5900,418,53,2025-02-22,,False
2025,B1_2025_p_seapar_0.1,0.10000000000000001,5900,593,228,2025-08-16,2025_segment_1,True
2025,B1_2025_p_seapar_0.2,0.20000000000000001,10800,418,53,2025-02-22,,False
2025,B1_2025_p_seapar_0.2,0.20000000000000001,10800,594,229,2025-08-17,2025_segment_1,True
2025,B1_2025_p_seapar_0.3,0.29999999999999999,15700,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.3,0.29999999999999999,15700,594,229,2025-08-17,2025_segment_1,True
2025,B1_2025_p_seapar_0.4,0.40000000000000002,20600,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.4,0.40000000000000002,20600,595,230,2025-08-18,2025_segment_1,True
2025,B1_2025_p_seapar_0.5,0.5,25500,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.5,0.5,25500,596,231,2025-08-19,2025_segment_1,True
2025,B1_2025_p_seapar_0.6,0.59999999999999998,30400,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.6,0.59999999999999998,30400,596,231,2025-08-19,2025_segment_1,True
2025,B1_2025_p_seapar_0.7,0.69999999999999996,35300,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.7,0.69999999999999996,35300,597,232,2025-08-20,2025_segment_1,True
2025,B1_2025_p_seapar_0.8,0.80000000000000004,40200,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.8,0.80000000000000004,40200,597,232,2025-08-20,2025_segment_1,True
2025,B1_2025_p_seapar_0.9,0.90000000000000002,45100,417,52,2025-02-21,,False
2025,B1_2025_p_seapar_0.9,0.90000000000000002,45100,598,233,2025-08-21,2025_segment_1,True
2025,B1_2025_p_seapar_1.0,1,50000,416,51,2025-02-20,,False
2025,B1_2025_p_seapar_1.0,1,50000,598,233,2025-08-21,2025_segment_1,True
