event_id,year,method,p_seapar,mapped_coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2020_E01,2020,B1_2020_p_seapar_0.2,0.20000000000000001,10800,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.2
ERK_2020_E02,2020,B1_2020_p_seapar_0.2,0.20000000000000001,10800,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.2
ERK_2020_E03,2020,B1_2020_p_seapar_0.2,0.20000000000000001,10800,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.45408821105957,-29.277811788940433,29.277811788940433,1.3907735225829445,ok,,B1_2020_p_seapar_0.2
ERK_2020_E01,2020,B1_2020_p_seapar_0.3,0.29999999999999999,15700,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.3
ERK_2020_E02,2020,B1_2020_p_seapar_0.3,0.29999999999999999,15700,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.3
ERK_2020_E03,2020,B1_2020_p_seapar_0.3,0.29999999999999999,15700,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.455615997314453,-29.27628400268555,29.27628400268555,1.3907009486936535,ok,,B1_2020_p_seapar_0.3
ERK_2020_E01,2020,B1_2020_p_seapar_0.4,0.40000000000000002,20600,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.4
ERK_2020_E02,2020,B1_2020_p_seapar_0.4,0.40000000000000002,20600,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.4
ERK_2020_E03,2020,B1_2020_p_seapar_0.4,0.40000000000000002,20600,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.454743385314941,-29.277156614685062,29.277156614685062,1.3907424000723683,ok,,B1_2020_p_seapar_0.4
ERK_2020_E01,2020,B1_2020_p_seapar_0.5,0.5,25500,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.5
