event_id,year,method,p_seapar,coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2020_E03,2020,B2_2020_coarse_300,1,300,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P003,2020-09-09,0,0,True,True,True,16.273948669433594,-26.457951330566409,26.457951330566409,1.2568226900836854,ok,,B2_2020_coarse_300
ERK_2020_E01,2020,B2_2020_coarse_100,1,100,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2020_coarse_100
ERK_2020_E02,2020,B2_2020_coarse_100,1,100,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-07,-2,2,True,True,True,14.745807647705078,-24.207792352294923,24.207792352294923,1.1499341851932885,ok,,B2_2020_coarse_100
ERK_2020_E03,2020,B2_2020_coarse_100,1,100,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P002,2020-09-11,2,2,True,True,True,16.871767044067383,-25.86013295593262,25.86013295593262,1.2284247355935101,ok,,B2_2020_coarse_100
ERK_2020_E01,2020,B2_2020_coarse_30,1,30,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2020_coarse_30
ERK_2020_E02,2020,B2_2020_coarse_30,1,30,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P003,2020-08-07,-2,2,True,True,True,14.045351028442383,-24.908248971557619,24.908248971557619,1.1832077278614095,ok,,B2_2020_coarse_30
ERK_2020_E03,2020,B2_2020_coarse_30,1,30,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P004,2020-09-10,1,1,True,True,True,15.806641578674316,-26.925258421325687,26.925258421325687,1.2790210132858575,ok,,B2_2020_coarse_30
ERK_2020_E01,2020,B2_2020_coarse_10,1,10,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,matched,,15,False,REC_2020_P002,2020-04-12,-6,6,False,True,True,17.419239044189453,-4.7328609558105477,4.7328609558105477,0.2248234175032974,ok,,B2_2020_coarse_10
ERK_2020_E02,2020,B2_2020_coarse_10,1,10,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P004,2020-08-04,-5,5,True,True,True,14.623514175415039,-24.330085824584962,24.330085824584962,1.155743448688519,ok,,B2_2020_coarse_10
ERK_2020_E03,2020,B2_2020_coarse_10,1,10,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P005,2020-09-09,0,0,True,True,True,18.840936660766602,-23.890963339233402,23.890963339233402,1.1348839688134396,ok,,B2_2020_coarse_10
