product_level,year,window_size,metric,analysis_status,n_records,n_records_with_valid_fraction,n_records_with_spatial_median,n_records_unavailable,n_records_with_any_valid_pixel,mean_valid_pixel_fraction,median_valid_pixel_fraction,median_of_product_medians,mean_of_product_medians,minimum_product_median,maximum_product_median
L1C,2023,3,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9104938271604939,1.0,0.0354,0.042239393939393945,0.0232,0.0964
L1C,2023,3,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9104938271604939,1.0,0.0355,0.04076515151515151,0.0197,0.098
L1C,2023,3,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9104938271604939,1.0,-0.05442176870748302,-0.05492346018763057,-0.1033816425120773,-0.018015853951477315
L1C,2023,3,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9104938271604939,1.0,-0.0012800000000000034,-0.0012743181818181811,-0.004333333333333335,0.000949999999999996
L1C,2023,5,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9011111111111111,1.0,0.0393,0.046886363636363636,0.026325,0.099475
L1C,2023,5,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9011111111111111,1.0,0.0352,0.042580303030303024,0.0235,0.0955
L1C,2023,5,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9011111111111111,1.0,0.0357,0.041043939393939396,0.0197,0.1017
L1C,2023,5,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9011111111111111,1.0,-0.05202803142917816,-0.05329542691535383,-0.09757258448357926,-0.018415797648102954
L1C,2023,5,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9011111111111111,1.0,-0.0009333333333333277,-0.001152398989898991,-0.00494,0.0012558333333333345
L1C,2023,7,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8866213151927438,1.0,0.0402375,0.053155514705882353,0.02635,0.25375
