product_id,product_level,source_relative_path,platform,sensing_datetime_utc,acquisition_date,year,tile_id,relative_orbit,processing_baseline,generation_time_utc,product_uri,metadata_tile_id,acquisition_metadata_complete,band_asset_count,qa_asset_count,scl_asset_count,B4_raster_count,B5_raster_count,B6_raster_count,discovery_status
S2B_MSIL2A_20170512T102019_N0500_R065_T33UVB_20231115T052651,L2A,S2B_MSIL2A_20170512T102019_N0500_R065_T33UVB_20231115T052651.SAFE,S2B,2017-05-12T10:20:19Z,2017-05-12,2017,T33UVB,65,N0500,2023-11-15T05:26:51Z,S2B_MSIL2A_20170512T102019_N0500_R065_T33UVB_20231115T052651.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170515T103019_N0500_R108_T33UVB_20230906T191430,L2A,S2B_MSIL2A_20170515T103019_N0500_R108_T33UVB_20230906T191430.SAFE,S2B,2017-05-15T10:30:19Z,2017-05-15,2017,T33UVB,108,N0500,2023-09-06T19:14:30Z,S2B_MSIL2A_20170515T103019_N0500_R108_T33UVB_20230906T191430.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170517T102031_N0500_R065_T33UVB_20231114T112224,L2A,S2A_MSIL2A_20170517T102031_N0500_R065_T33UVB_20231114T112224.SAFE,S2A,2017-05-17T10:20:31Z,2017-05-17,2017,T33UVB,65,N0500,2023-11-14T11:22:24Z,S2A_MSIL2A_20170517T102031_N0500_R065_T33UVB_20231114T112224.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170520T103031_N0500_R108_T33UVB_20231114T024431,L2A,S2A_MSIL2A_20170520T103031_N0500_R108_T33UVB_20231114T024431.SAFE,S2A,2017-05-20T10:30:31Z,2017-05-20,2017,T33UVB,108,N0500,2023-11-14T02:44:31Z,S2A_MSIL2A_20170520T103031_N0500_R108_T33UVB_20231114T024431.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170522T102019_N0500_R065_T33UVB_20231113T002406,L2A,S2B_MSIL2A_20170522T102019_N0500_R065_T33UVB_20231113T002406.SAFE,S2B,2017-05-22T10:20:19Z,2017-05-22,2017,T33UVB,65,N0500,2023-11-13T00:24:06Z,S2B_MSIL2A_20170522T102019_N0500_R065_T33UVB_20231113T002406.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170525T103019_N0500_R108_T33UVB_20230914T065553,L2A,S2B_MSIL2A_20170525T103019_N0500_R108_T33UVB_20230914T065553.SAFE,S2B,2017-05-25T10:30:19Z,2017-05-25,2017,T33UVB,108,N0500,2023-09-14T06:55:53Z,S2B_MSIL2A_20170525T103019_N0500_R108_T33UVB_20230914T065553.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170527T102031_N0500_R065_T33UVB_20231112T000424,L2A,S2A_MSIL2A_20170527T102031_N0500_R065_T33UVB_20231112T000424.SAFE,S2A,2017-05-27T10:20:31Z,2017-05-27,2017,T33UVB,65,N0500,2023-11-12T00:04:24Z,S2A_MSIL2A_20170527T102031_N0500_R065_T33UVB_20231112T000424.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170530T103021_N0500_R108_T33UVB_20230915T232248,L2A,S2A_MSIL2A_20170530T103021_N0500_R108_T33UVB_20230915T232248.SAFE,S2A,2017-05-30T10:30:21Z,2017-05-30,2017,T33UVB,108,N0500,2023-09-15T23:22:48Z,S2A_MSIL2A_20170530T103021_N0500_R108_T33UVB_20230915T232248.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170601T102019_N0500_R065_T33UVB_20231111T174132,L2A,S2B_MSIL2A_20170601T102019_N0500_R065_T33UVB_20231111T174132.SAFE,S2B,2017-06-01T10:20:19Z,2017-06-01,2017,T33UVB,65,N0500,2023-11-11T17:41:32Z,S2B_MSIL2A_20170601T102019_N0500_R065_T33UVB_20231111T174132.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170604T103019_N0500_R108_T33UVB_20230912T153011,L2A,S2B_MSIL2A_20170604T103019_N0500_R108_T33UVB_20230912T153011.SAFE,S2B,2017-06-04T10:30:19Z,2017-06-04,2017,T33UVB,108,N0500,2023-09-12T15:30:11Z,S2B_MSIL2A_20170604T103019_N0500_R108_T33UVB_20230912T153011.SAFE,,True,25,31,2,3,2,2,inventoried
