product_id,platform,acquisition_datetime,date,processing_baseline,central_scl,water_pixel_count_3x3,bad_pixel_count_3x3,persistent_nonwater_pixel_count_3x3,class2_pixel_count_3x3,water_fraction_3x3,bad_scl_fraction_3x3,persistent_nonwater_fraction_3x3,class2_fraction_3x3,central_is_water,central_is_obvious_bad,central_is_persistent_nonwater,central_is_class2,passes_final_rule,final_rule_failure_reasons,qc_rule_id,mask_version
S2B_MSIL2A_20190512T102029_N0500_R065_T34VCM_20221210T130108,S2B,2019-05-12T10:20:29Z,2019-05-12,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190514T101031_N0500_R022_T34VCM_20230618T024547,S2A,2019-05-14T10:10:31Z,2019-05-14,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,S2A,2019-05-17T10:20:31Z,2019-05-17,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190519T101039_N0500_R022_T34VCM_20221212T233059,S2B,2019-05-19T10:10:39Z,2019-05-19,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190524T101031_N0500_R022_T34VCM_20221216T102525,S2A,2019-05-24T10:10:31Z,2019-05-24,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190527T102031_N0500_R065_T34VCM_20221218T171850,S2A,2019-05-27T10:20:31Z,2019-05-27,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,S2B,2019-05-29T10:10:39Z,2019-05-29,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190601T102029_N0500_R065_T34VCM_20230724T191309,S2B,2019-06-01T10:20:29Z,2019-06-01,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190603T101031_N0500_R022_T34VCM_20230628T141213,S2A,2019-06-03T10:10:31Z,2019-06-03,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,S2A,2019-06-06T10:20:31Z,2019-06-06,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,S2B,2019-06-08T10:10:29Z,2019-06-08,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190611T102029_N0500_R065_T34VCM_20221220T092351,S2B,2019-06-11T10:20:29Z,2019-06-11,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190613T101031_N0500_R022_T34VCM_20230723T001603,S2A,2019-06-13T10:10:31Z,2019-06-13,N0500,10,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190616T102031_N0500_R065_T34VCM_20230609T034634,S2A,2019-06-16T10:20:31Z,2019-06-16,N0500,10,3,6,0,0,0.3333333333,0.6666666667,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,S2B,2019-06-18T10:10:29Z,2019-06-18,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190621T102029_N0500_R065_T34VCM_20230711T175020,S2B,2019-06-21T10:20:29Z,2019-06-21,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190623T101031_N0500_R022_T34VCM_20230619T112816,S2A,2019-06-23T10:10:31Z,2019-06-23,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190626T102031_N0500_R065_T34VCM_20230707T172528,S2A,2019-06-26T10:20:31Z,2019-06-26,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,S2B,2019-06-28T10:10:39Z,2019-06-28,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190701T102029_N0500_R065_T34VCM_20230809T195545,S2B,2019-07-01T10:20:29Z,2019-07-01,N0500,6,7,2,0,0,0.7777777778,0.2222222222,0,0,True,False,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190703T101031_N0500_R022_T34VCM_20230717T112620,S2A,2019-07-03T10:10:31Z,2019-07-03,N0500,10,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190706T102031_N0500_R065_T34VCM_20230719T174117,S2A,2019-07-06T10:20:31Z,2019-07-06,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190708T101039_N0500_R022_T34VCM_20230603T212338,S2B,2019-07-08T10:10:39Z,2019-07-08,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,S2B,2019-07-11T10:20:29Z,2019-07-11,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190713T101031_N0500_R022_T34VCM_20230630T171940,S2A,2019-07-13T10:10:31Z,2019-07-13,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190716T102031_N0500_R065_T34VCM_20230605T025414,S2A,2019-07-16T10:20:31Z,2019-07-16,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,S2B,2019-07-18T10:10:39Z,2019-07-18,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190721T102029_N0500_R065_T34VCM_20230723T133738,S2B,2019-07-21T10:20:29Z,2019-07-21,N0500,10,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,S2A,2019-07-23T10:10:31Z,2019-07-23,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,S2A,2019-07-26T10:20:31Z,2019-07-26,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,S2B,2019-07-28T10:10:29Z,2019-07-28,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190731T102029_N0500_R065_T34VCM_20230710T051154,S2B,2019-07-31T10:20:29Z,2019-07-31,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,S2A,2019-08-02T10:10:31Z,2019-08-02,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,S2A,2019-08-05T10:20:31Z,2019-08-05,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405,S2B,2019-08-07T10:10:29Z,2019-08-07,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190810T102029_N0500_R065_T34VCM_20230513T073453,S2B,2019-08-10T10:20:29Z,2019-08-10,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190812T101031_N0500_R022_T34VCM_20230709T144008,S2A,2019-08-12T10:10:31Z,2019-08-12,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190815T102031_N0500_R065_T34VCM_20230720T215905,S2A,2019-08-15T10:20:31Z,2019-08-15,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190817T101029_N0500_R022_T34VCM_20230507T015321,S2B,2019-08-17T10:10:29Z,2019-08-17,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190820T102029_N0500_R065_T34VCM_20230504T021505,S2B,2019-08-20T10:20:29Z,2019-08-20,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,S2A,2019-08-22T10:10:31Z,2019-08-22,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,S2A,2019-08-25T10:20:31Z,2019-08-25,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,S2B,2019-08-27T10:10:29Z,2019-08-27,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190830T102029_N0500_R065_T34VCM_20230523T223616,S2B,2019-08-30T10:20:29Z,2019-08-30,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854,S2A,2019-09-01T10:10:31Z,2019-09-01,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148,S2A,2019-09-04T10:20:21Z,2019-09-04,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254,S2B,2019-09-06T10:10:29Z,2019-09-06,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190909T102029_N0500_R065_T34VCM_20230502T195235,S2B,2019-09-09T10:20:29Z,2019-09-09,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190911T101021_N0500_R022_T34VCM_20230703T152448,S2A,2019-09-11T10:10:21Z,2019-09-11,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190914T102021_N0500_R065_T34VCM_20230430T090328,S2A,2019-09-14T10:20:21Z,2019-09-14,N0500,10,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190916T101029_N0500_R022_T34VCM_20230627T210013,S2B,2019-09-16T10:10:29Z,2019-09-16,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190919T102019_N0500_R065_T34VCM_20230501T150210,S2B,2019-09-19T10:20:19Z,2019-09-19,N0500,10,1,8,0,0,0.1111111111,0.8888888889,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190921T101031_N0500_R022_T34VCM_20230630T094636,S2A,2019-09-21T10:10:31Z,2019-09-21,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190924T102021_N0500_R065_T34VCM_20230503T212747,S2A,2019-09-24T10:20:21Z,2019-09-24,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823,S2B,2019-09-26T10:10:29Z,2019-09-26,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190929T102029_N0500_R065_T34VCM_20230507T085955,S2B,2019-09-29T10:20:29Z,2019-09-29,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927,S2A,2019-10-01T10:10:31Z,2019-10-01,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937,S2A,2019-10-04T10:20:31Z,2019-10-04,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191006T101029_N0500_R022_T34VCM_20230613T152519,S2B,2019-10-06T10:10:29Z,2019-10-06,N0500,10,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191009T102029_N0500_R065_T34VCM_20230709T133629,S2B,2019-10-09T10:20:29Z,2019-10-09,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191011T101031_N0500_R022_T34VCM_20230704T100821,S2A,2019-10-11T10:10:31Z,2019-10-11,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191014T102031_N0500_R065_T34VCM_20230714T195231,S2A,2019-10-14T10:20:31Z,2019-10-14,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191016T101029_N0500_R022_T34VCM_20230809T193352,S2B,2019-10-16T10:10:29Z,2019-10-16,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191019T102029_N0500_R065_T34VCM_20230622T072030,S2B,2019-10-19T10:20:29Z,2019-10-19,N0500,6,8,1,0,0,0.8888888889,0.1111111111,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191021T101041_N0500_R022_T34VCM_20230615T113506,S2A,2019-10-21T10:10:41Z,2019-10-21,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191024T102111_N0500_R065_T34VCM_20230527T034937,S2A,2019-10-24T10:21:11Z,2019-10-24,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191026T101029_N0500_R022_T34VCM_20230615T081325,S2B,2019-10-26T10:10:29Z,2019-10-26,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191029T102039_N0500_R065_T34VCM_20230614T232838,S2B,2019-10-29T10:20:39Z,2019-10-29,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191031T101141_N0500_R022_T34VCM_20230527T114942,S2A,2019-10-31T10:11:41Z,2019-10-31,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191103T102211_N0500_R065_T34VCM_20230610T094957,S2A,2019-11-03T10:22:11Z,2019-11-03,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191105T101119_N0500_R022_T34VCM_20230707T155633,S2B,2019-11-05T10:11:19Z,2019-11-05,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20191108T102139_N0500_R065_T34VCM_20230610T220155,S2B,2019-11-08T10:21:39Z,2019-11-08,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20191110T101241_N0500_R022_T34VCM_20230610T104312,S2A,2019-11-10T10:12:41Z,2019-11-10,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
