gap_id,year,previous_year,next_year,previous_date,next_date,gap_days,crosses_year_boundary,number_of_calendar_days_between,number_of_daily_reference_days_between,number_of_open_water_days_between,number_of_ice_days_between,number_of_reference_missing_days_between,contains_ice_day,interval_context
44,2020,2020,2020,2020-02-26,2020-02-28,2,False,1,1,1,0,0,False,within_openwater_calendar_span
45,2020,2020,2020,2020-02-28,2020-03-14,15,False,14,14,14,0,0,False,within_openwater_calendar_span
46,2020,2020,2020,2020-03-14,2020-03-19,5,False,4,4,4,0,0,False,within_openwater_calendar_span
47,2020,2020,2020,2020-03-19,2020-03-22,3,False,2,2,2,0,0,False,within_openwater_calendar_span
48,2020,2020,2020,2020-03-22,2020-03-29,7,False,6,6,6,0,0,False,within_openwater_calendar_span
49,2020,2020,2020,2020-03-29,2020-04-01,3,False,2,2,2,0,0,False,within_openwater_calendar_span
50,2020,2020,2020,2020-04-01,2020-04-03,2,False,1,1,1,0,0,False,within_openwater_calendar_span
51,2020,2020,2020,2020-04-03,2020-04-11,8,False,7,7,1,6,0,True,contains_ice_day
52,2020,2020,2020,2020-04-11,2020-04-16,5,False,4,4,4,0,0,False,within_openwater_calendar_span
53,2020,2020,2020,2020-04-16,2020-04-18,2,False,1,1,1,0,0,False,within_openwater_calendar_span
54,2020,2020,2020,2020-04-18,2020-04-21,3,False,2,2,2,0,0,False,within_openwater_calendar_span
55,2020,2020,2020,2020-04-21,2020-04-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
56,2020,2020,2020,2020-04-23,2020-05-08,15,False,14,14,14,0,0,False,within_openwater_calendar_span
57,2020,2020,2020,2020-05-08,2020-05-21,13,False,12,12,12,0,0,False,within_openwater_calendar_span
58,2020,2020,2020,2020-05-21,2020-05-26,5,False,4,4,4,0,0,False,within_openwater_calendar_span
59,2020,2020,2020,2020-05-26,2020-05-31,5,False,4,4,4,0,0,False,within_openwater_calendar_span
60,2020,2020,2020,2020-05-31,2020-06-02,2,False,1,1,1,0,0,False,within_openwater_calendar_span
61,2020,2020,2020,2020-06-02,2020-06-05,3,False,2,2,2,0,0,False,within_openwater_calendar_span
62,2020,2020,2020,2020-06-05,2020-06-07,2,False,1,1,1,0,0,False,within_openwater_calendar_span
63,2020,2020,2020,2020-06-07,2020-06-10,3,False,2,2,2,0,0,False,within_openwater_calendar_span
64,2020,2020,2020,2020-06-10,2020-06-12,2,False,1,1,1,0,0,False,within_openwater_calendar_span
65,2020,2020,2020,2020-06-12,2020-06-15,3,False,2,2,2,0,0,False,within_openwater_calendar_span
66,2020,2020,2020,2020-06-15,2020-06-20,5,False,4,4,4,0,0,False,within_openwater_calendar_span
67,2020,2020,2020,2020-06-20,2020-06-22,2,False,1,1,1,0,0,False,within_openwater_calendar_span
68,2020,2020,2020,2020-06-22,2020-06-25,3,False,2,2,2,0,0,False,within_openwater_calendar_span
69,2020,2020,2020,2020-06-25,2020-06-27,2,False,1,1,1,0,0,False,within_openwater_calendar_span
70,2020,2020,2020,2020-06-27,2020-07-02,5,False,4,4,4,0,0,False,within_openwater_calendar_span
71,2020,2020,2020,2020-07-02,2020-07-12,10,False,9,9,9,0,0,False,within_openwater_calendar_span
72,2020,2020,2020,2020-07-12,2020-07-25,13,False,12,12,12,0,0,False,within_openwater_calendar_span
73,2020,2020,2020,2020-07-25,2020-08-01,7,False,6,6,6,0,0,False,within_openwater_calendar_span
74,2020,2020,2020,2020-08-01,2020-08-09,8,False,7,7,7,0,0,False,within_openwater_calendar_span
75,2020,2020,2020,2020-08-09,2020-08-11,2,False,1,1,1,0,0,False,within_openwater_calendar_span
76,2020,2020,2020,2020-08-11,2020-08-14,3,False,2,2,2,0,0,False,within_openwater_calendar_span
77,2020,2020,2020,2020-08-14,2020-08-16,2,False,1,1,1,0,0,False,within_openwater_calendar_span
78,2020,2020,2020,2020-08-16,2020-08-19,3,False,2,2,2,0,0,False,within_openwater_calendar_span
79,2020,2020,2020,2020-08-19,2020-08-21,2,False,1,1,1,0,0,False,within_openwater_calendar_span
80,2020,2020,2020,2020-08-21,2020-08-24,3,False,2,2,2,0,0,False,within_openwater_calendar_span
81,2020,2020,2020,2020-08-24,2020-08-26,2,False,1,1,1,0,0,False,within_openwater_calendar_span
82,2020,2020,2020,2020-08-26,2020-09-05,10,False,9,9,9,0,0,False,within_openwater_calendar_span
83,2020,2020,2020,2020-09-05,2020-09-10,5,False,4,4,4,0,0,False,within_openwater_calendar_span
84,2020,2020,2020,2020-09-10,2020-09-13,3,False,2,2,2,0,0,False,within_openwater_calendar_span
85,2020,2020,2020,2020-09-13,2020-09-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
86,2020,2020,2020,2020-09-18,2020-09-23,5,False,4,4,4,0,0,False,within_openwater_calendar_span
87,2020,2020,2020,2020-09-23,2020-10-15,22,False,21,21,21,0,0,False,within_openwater_calendar_span
88,2020,2020,2020,2020-10-15,2020-11-04,20,False,19,19,19,0,0,False,within_openwater_calendar_span
89,2020,2020,2020,2020-11-04,2020-11-09,5,False,4,4,4,0,0,False,within_openwater_calendar_span
90,2020,2020,2020,2020-11-09,2020-11-22,13,False,12,12,12,0,0,False,within_openwater_calendar_span
91,2021,2020,2021,2020-11-22,2021-03-19,117,True,116,116,86,30,0,True,crosses_year_boundary
92,2021,2021,2021,2021-03-19,2021-03-22,3,False,2,2,2,0,0,False,within_openwater_calendar_span
93,2021,2021,2021,2021-03-22,2021-04-03,12,False,11,11,11,0,0,False,within_openwater_calendar_span
94,2021,2021,2021,2021-04-03,2021-04-08,5,False,4,4,4,0,0,False,within_openwater_calendar_span
95,2021,2021,2021,2021-04-08,2021-04-13,5,False,4,4,4,0,0,False,within_openwater_calendar_span
96,2021,2021,2021,2021-04-13,2021-04-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
97,2021,2021,2021,2021-04-18,2021-04-21,3,False,2,2,2,0,0,False,within_openwater_calendar_span
98,2021,2021,2021,2021-04-21,2021-04-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
99,2021,2021,2021,2021-04-23,2021-05-08,15,False,14,14,14,0,0,False,within_openwater_calendar_span
100,2021,2021,2021,2021-05-08,2021-05-13,5,False,4,4,4,0,0,False,within_openwater_calendar_span
101,2021,2021,2021,2021-05-13,2021-05-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
102,2021,2021,2021,2021-05-18,2021-05-28,10,False,9,9,9,0,0,False,within_openwater_calendar_span
103,2021,2021,2021,2021-05-28,2021-06-02,5,False,4,4,4,0,0,False,within_openwater_calendar_span
104,2021,2021,2021,2021-06-02,2021-06-05,3,False,2,2,2,0,0,False,within_openwater_calendar_span
105,2021,2021,2021,2021-06-05,2021-06-07,2,False,1,1,1,0,0,False,within_openwater_calendar_span
106,2021,2021,2021,2021-06-07,2021-06-10,3,False,2,2,2,0,0,False,within_openwater_calendar_span
107,2021,2021,2021,2021-06-10,2021-06-12,2,False,1,1,1,0,0,False,within_openwater_calendar_span
108,2021,2021,2021,2021-06-12,2021-06-15,3,False,2,2,2,0,0,False,within_openwater_calendar_span
109,2021,2021,2021,2021-06-15,2021-06-20,5,False,4,4,4,0,0,False,within_openwater_calendar_span
110,2021,2021,2021,2021-06-20,2021-06-27,7,False,6,6,6,0,0,False,within_openwater_calendar_span
111,2021,2021,2021,2021-06-27,2021-06-30,3,False,2,2,2,0,0,False,within_openwater_calendar_span
112,2021,2021,2021,2021-06-30,2021-07-02,2,False,1,1,1,0,0,False,within_openwater_calendar_span
113,2021,2021,2021,2021-07-02,2021-07-05,3,False,2,2,2,0,0,False,within_openwater_calendar_span
114,2021,2021,2021,2021-07-05,2021-07-10,5,False,4,4,4,0,0,False,within_openwater_calendar_span
115,2021,2021,2021,2021-07-10,2021-07-12,2,False,1,1,1,0,0,False,within_openwater_calendar_span
116,2021,2021,2021,2021-07-12,2021-07-15,3,False,2,2,2,0,0,False,within_openwater_calendar_span
117,2021,2021,2021,2021-07-15,2021-07-25,10,False,9,9,9,0,0,False,within_openwater_calendar_span
118,2021,2021,2021,2021-07-25,2021-07-27,2,False,1,1,1,0,0,False,within_openwater_calendar_span
119,2021,2021,2021,2021-07-27,2021-08-06,10,False,9,9,9,0,0,False,within_openwater_calendar_span
120,2021,2021,2021,2021-08-06,2021-08-09,3,False,2,2,2,0,0,False,within_openwater_calendar_span
121,2021,2021,2021,2021-08-09,2021-08-11,2,False,1,1,1,0,0,False,within_openwater_calendar_span
122,2021,2021,2021,2021-08-11,2021-08-21,10,False,9,9,9,0,0,False,within_openwater_calendar_span
123,2021,2021,2021,2021-08-21,2021-08-31,10,False,9,9,9,0,0,False,within_openwater_calendar_span
124,2021,2021,2021,2021-08-31,2021-09-03,3,False,2,2,2,0,0,False,within_openwater_calendar_span
125,2021,2021,2021,2021-09-03,2021-09-08,5,False,4,4,4,0,0,False,within_openwater_calendar_span
126,2021,2021,2021,2021-09-08,2021-09-15,7,False,6,6,6,0,0,False,within_openwater_calendar_span
127,2021,2021,2021,2021-09-15,2021-09-25,10,False,9,9,9,0,0,False,within_openwater_calendar_span
128,2021,2021,2021,2021-09-25,2021-10-08,13,False,12,12,12,0,0,False,within_openwater_calendar_span
129,2021,2021,2021,2021-10-08,2021-10-13,5,False,4,4,4,0,0,False,within_openwater_calendar_span
130,2021,2021,2021,2021-10-13,2021-10-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
131,2021,2021,2021,2021-10-18,2021-10-23,5,False,4,4,4,0,0,False,within_openwater_calendar_span
132,2021,2021,2021,2021-10-23,2021-10-25,2,False,1,1,1,0,0,False,within_openwater_calendar_span
133,2021,2021,2021,2021-10-25,2021-10-30,5,False,4,4,4,0,0,False,within_openwater_calendar_span
134,2021,2021,2021,2021-10-30,2021-11-12,13,False,12,12,12,0,0,False,within_openwater_calendar_span
135,2021,2021,2021,2021-11-12,2021-11-22,10,False,9,9,9,0,0,False,within_openwater_calendar_span
136,2021,2021,2021,2021-11-22,2021-12-04,12,False,11,11,11,0,0,False,within_openwater_calendar_span
137,2022,2021,2022,2021-12-04,2022-04-18,135,True,134,134,5,129,0,True,crosses_year_boundary
138,2022,2022,2022,2022-04-18,2022-04-21,3,False,2,2,2,0,0,False,within_openwater_calendar_span
139,2022,2022,2022,2022-04-21,2022-05-03,12,False,11,11,11,0,0,False,within_openwater_calendar_span
140,2022,2022,2022,2022-05-03,2022-05-06,3,False,2,2,2,0,0,False,within_openwater_calendar_span
141,2022,2022,2022,2022-05-06,2022-05-11,5,False,4,4,4,0,0,False,within_openwater_calendar_span
142,2022,2022,2022,2022-05-11,2022-05-16,5,False,4,4,4,0,0,False,within_openwater_calendar_span
143,2022,2022,2022,2022-05-16,2022-05-18,2,False,1,1,1,0,0,False,within_openwater_calendar_span
144,2022,2022,2022,2022-05-18,2022-05-23,5,False,4,4,4,0,0,False,within_openwater_calendar_span
145,2022,2022,2022,2022-05-23,2022-06-05,13,False,12,12,12,0,0,False,within_openwater_calendar_span
146,2022,2022,2022,2022-06-05,2022-06-07,2,False,1,1,1,0,0,False,within_openwater_calendar_span
147,2022,2022,2022,2022-06-07,2022-06-12,5,False,4,4,4,0,0,False,within_openwater_calendar_span
148,2022,2022,2022,2022-06-12,2022-06-15,3,False,2,2,2,0,0,False,within_openwater_calendar_span
149,2022,2022,2022,2022-06-15,2022-06-25,10,False,9,9,9,0,0,False,within_openwater_calendar_span
150,2022,2022,2022,2022-06-25,2022-06-30,5,False,4,4,4,0,0,False,within_openwater_calendar_span
151,2022,2022,2022,2022-06-30,2022-07-12,12,False,11,11,11,0,0,False,within_openwater_calendar_span
152,2022,2022,2022,2022-07-12,2022-07-15,3,False,2,2,2,0,0,False,within_openwater_calendar_span
153,2022,2022,2022,2022-07-15,2022-07-17,2,False,1,1,1,0,0,False,within_openwater_calendar_span
154,2022,2022,2022,2022-07-17,2022-07-20,3,False,2,2,2,0,0,False,within_openwater_calendar_span
155,2022,2022,2022,2022-07-20,2022-07-30,10,False,9,9,9,0,0,False,within_openwater_calendar_span
156,2022,2022,2022,2022-07-30,2022-08-01,2,False,1,1,1,0,0,False,within_openwater_calendar_span
157,2022,2022,2022,2022-08-01,2022-08-14,13,False,12,12,12,0,0,False,within_openwater_calendar_span
158,2022,2022,2022,2022-08-14,2022-08-19,5,False,4,4,4,0,0,False,within_openwater_calendar_span
159,2022,2022,2022,2022-08-19,2022-09-08,20,False,19,19,19,0,0,False,within_openwater_calendar_span
160,2022,2022,2022,2022-09-08,2022-09-28,20,False,19,19,19,0,0,False,within_openwater_calendar_span
161,2022,2022,2022,2022-09-28,2022-09-30,2,False,1,1,1,0,0,False,within_openwater_calendar_span
162,2022,2022,2022,2022-09-30,2022-10-03,3,False,2,2,2,0,0,False,within_openwater_calendar_span
163,2022,2022,2022,2022-10-03,2022-10-08,5,False,4,4,4,0,0,False,within_openwater_calendar_span
164,2022,2022,2022,2022-10-08,2022-10-10,2,False,1,1,1,0,0,False,within_openwater_calendar_span
165,2022,2022,2022,2022-10-10,2022-10-20,10,False,9,9,9,0,0,False,within_openwater_calendar_span
166,2022,2022,2022,2022-10-20,2022-10-23,3,False,2,2,2,0,0,False,within_openwater_calendar_span
167,2022,2022,2022,2022-10-23,2022-10-30,7,False,6,6,6,0,0,False,within_openwater_calendar_span
168,2022,2022,2022,2022-10-30,2022-11-09,10,False,9,9,9,0,0,False,within_openwater_calendar_span
169,2022,2022,2022,2022-11-09,2022-11-12,3,False,2,2,2,0,0,False,within_openwater_calendar_span
170,2022,2022,2022,2022-11-12,2022-11-17,5,False,4,4,4,0,0,False,within_openwater_calendar_span
171,2022,2022,2022,2022-11-17,2022-11-22,5,False,4,4,4,0,0,False,within_openwater_calendar_span
172,2022,2022,2022,2022-11-22,2022-12-09,17,False,16,16,16,0,0,False,within_openwater_calendar_span
173,2023,2022,2023,2022-12-09,2023-04-21,133,True,132,132,6,126,0,True,crosses_year_boundary
174,2023,2023,2023,2023-04-21,2023-04-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
175,2023,2023,2023,2023-04-23,2023-04-28,5,False,4,4,4,0,0,False,within_openwater_calendar_span
176,2023,2023,2023,2023-04-28,2023-05-03,5,False,4,4,4,0,0,False,within_openwater_calendar_span
177,2023,2023,2023,2023-05-03,2023-05-06,3,False,2,2,2,0,0,False,within_openwater_calendar_span
178,2023,2023,2023,2023-05-06,2023-05-08,2,False,1,1,1,0,0,False,within_openwater_calendar_span
179,2023,2023,2023,2023-05-08,2023-05-11,3,False,2,2,2,0,0,False,within_openwater_calendar_span
180,2023,2023,2023,2023-05-11,2023-05-13,2,False,1,1,1,0,0,False,within_openwater_calendar_span
181,2023,2023,2023,2023-05-13,2023-05-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
182,2023,2023,2023,2023-05-18,2023-05-21,3,False,2,2,2,0,0,False,within_openwater_calendar_span
183,2023,2023,2023,2023-05-21,2023-05-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
184,2023,2023,2023,2023-05-23,2023-05-26,3,False,2,2,2,0,0,False,within_openwater_calendar_span
185,2023,2023,2023,2023-05-26,2023-06-02,7,False,6,6,6,0,0,False,within_openwater_calendar_span
186,2023,2023,2023,2023-06-02,2023-06-05,3,False,2,2,2,0,0,False,within_openwater_calendar_span
187,2023,2023,2023,2023-06-05,2023-06-07,2,False,1,1,1,0,0,False,within_openwater_calendar_span
188,2023,2023,2023,2023-06-07,2023-06-10,3,False,2,2,2,0,0,False,within_openwater_calendar_span
189,2023,2023,2023,2023-06-10,2023-06-12,2,False,1,1,1,0,0,False,within_openwater_calendar_span
190,2023,2023,2023,2023-06-12,2023-06-25,13,False,12,12,12,0,0,False,within_openwater_calendar_span
191,2023,2023,2023,2023-06-25,2023-06-27,2,False,1,1,1,0,0,False,within_openwater_calendar_span
192,2023,2023,2023,2023-06-27,2023-07-20,23,False,22,22,22,0,0,False,within_openwater_calendar_span
193,2023,2023,2023,2023-07-20,2023-08-04,15,False,14,14,14,0,0,False,within_openwater_calendar_span
194,2023,2023,2023,2023-08-04,2023-08-29,25,False,24,24,24,0,0,False,within_openwater_calendar_span
195,2023,2023,2023,2023-08-29,2023-09-05,7,False,6,6,6,0,0,False,within_openwater_calendar_span
196,2023,2023,2023,2023-09-05,2023-09-30,25,False,24,24,24,0,0,False,within_openwater_calendar_span
197,2023,2023,2023,2023-09-30,2023-10-08,8,False,7,7,7,0,0,False,within_openwater_calendar_span
198,2023,2023,2023,2023-10-08,2023-10-18,10,False,9,9,9,0,0,False,within_openwater_calendar_span
199,2023,2023,2023,2023-10-18,2023-11-29,42,False,41,41,41,0,0,False,within_openwater_calendar_span
200,2024,2023,2024,2023-11-29,2024-04-17,140,True,139,139,20,119,0,True,crosses_year_boundary
201,2024,2024,2024,2024-04-17,2024-05-07,20,False,19,19,19,0,0,False,within_openwater_calendar_span
202,2024,2024,2024,2024-05-07,2024-05-10,3,False,2,2,2,0,0,False,within_openwater_calendar_span
203,2024,2024,2024,2024-05-10,2024-05-15,5,False,4,4,4,0,0,False,within_openwater_calendar_span
204,2024,2024,2024,2024-05-15,2024-05-17,2,False,1,1,1,0,0,False,within_openwater_calendar_span
205,2024,2024,2024,2024-05-17,2024-05-20,3,False,2,2,2,0,0,False,within_openwater_calendar_span
206,2024,2024,2024,2024-05-20,2024-05-22,2,False,1,1,1,0,0,False,within_openwater_calendar_span
207,2024,2024,2024,2024-05-22,2024-05-25,3,False,2,2,2,0,0,False,within_openwater_calendar_span
208,2024,2024,2024,2024-05-25,2024-05-27,2,False,1,1,1,0,0,False,within_openwater_calendar_span
209,2024,2024,2024,2024-05-27,2024-05-30,3,False,2,2,2,0,0,False,within_openwater_calendar_span
210,2024,2024,2024,2024-05-30,2024-06-04,5,False,4,4,4,0,0,False,within_openwater_calendar_span
211,2024,2024,2024,2024-06-04,2024-06-06,2,False,1,1,1,0,0,False,within_openwater_calendar_span
212,2024,2024,2024,2024-06-06,2024-06-09,3,False,2,2,2,0,0,False,within_openwater_calendar_span
213,2024,2024,2024,2024-06-09,2024-06-11,2,False,1,1,1,0,0,False,within_openwater_calendar_span
214,2024,2024,2024,2024-06-11,2024-06-14,3,False,2,2,2,0,0,False,within_openwater_calendar_span
215,2024,2024,2024,2024-06-14,2024-06-21,7,False,6,6,6,0,0,False,within_openwater_calendar_span
216,2024,2024,2024,2024-06-21,2024-06-29,8,False,7,7,7,0,0,False,within_openwater_calendar_span
217,2024,2024,2024,2024-06-29,2024-07-09,10,False,9,9,9,0,0,False,within_openwater_calendar_span
218,2024,2024,2024,2024-07-09,2024-07-21,12,False,11,11,11,0,0,False,within_openwater_calendar_span
219,2024,2024,2024,2024-07-21,2024-07-26,5,False,4,4,4,0,0,False,within_openwater_calendar_span
220,2024,2024,2024,2024-07-26,2024-08-13,18,False,17,17,17,0,0,False,within_openwater_calendar_span
221,2024,2024,2024,2024-08-13,2024-08-18,5,False,4,4,4,0,0,False,within_openwater_calendar_span
222,2024,2024,2024,2024-08-18,2024-08-20,2,False,1,1,1,0,0,False,within_openwater_calendar_span
223,2024,2024,2024,2024-08-20,2024-08-28,8,False,7,7,7,0,0,False,within_openwater_calendar_span
224,2024,2024,2024,2024-08-28,2024-09-04,7,False,6,6,6,0,0,False,within_openwater_calendar_span
225,2024,2024,2024,2024-09-04,2024-09-07,3,False,2,2,2,0,0,False,within_openwater_calendar_span
226,2024,2024,2024,2024-09-07,2024-09-12,5,False,4,4,4,0,0,False,within_openwater_calendar_span
227,2024,2024,2024,2024-09-12,2024-09-14,2,False,1,1,1,0,0,False,within_openwater_calendar_span
228,2024,2024,2024,2024-09-14,2024-09-19,5,False,4,4,4,0,0,False,within_openwater_calendar_span
229,2024,2024,2024,2024-09-19,2024-09-29,10,False,9,9,9,0,0,False,within_openwater_calendar_span
230,2024,2024,2024,2024-09-29,2024-10-04,5,False,4,4,4,0,0,False,within_openwater_calendar_span
231,2024,2024,2024,2024-10-04,2024-10-07,3,False,2,2,2,0,0,False,within_openwater_calendar_span
232,2024,2024,2024,2024-10-07,2024-10-12,5,False,4,4,4,0,0,False,within_openwater_calendar_span
233,2024,2024,2024,2024-10-12,2024-10-17,5,False,4,4,4,0,0,False,within_openwater_calendar_span
234,2024,2024,2024,2024-10-17,2024-10-19,2,False,1,1,1,0,0,False,within_openwater_calendar_span
235,2024,2024,2024,2024-10-19,2024-10-24,5,False,4,4,4,0,0,False,within_openwater_calendar_span
236,2024,2024,2024,2024-10-24,2024-11-08,15,False,14,14,14,0,0,False,within_openwater_calendar_span
237,2024,2024,2024,2024-11-08,2024-11-13,5,False,4,4,4,0,0,False,within_openwater_calendar_span
238,2024,2024,2024,2024-11-13,2024-11-26,13,False,12,12,12,0,0,False,within_openwater_calendar_span
239,2024,2024,2024,2024-11-26,2024-11-28,2,False,1,1,1,0,0,False,within_openwater_calendar_span
240,2025,2024,2025,2024-11-28,2025-03-21,113,True,112,112,52,60,0,True,crosses_year_boundary
241,2025,2025,2025,2025-03-21,2025-03-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
242,2025,2025,2025,2025-03-23,2025-03-28,5,False,4,4,4,0,0,False,within_openwater_calendar_span
243,2025,2025,2025,2025-03-28,2025-04-04,7,False,6,6,6,0,0,False,within_openwater_calendar_span
244,2025,2025,2025,2025-04-04,2025-04-07,3,False,2,2,2,0,0,False,within_openwater_calendar_span
245,2025,2025,2025,2025-04-07,2025-04-12,5,False,4,4,4,0,0,False,within_openwater_calendar_span
246,2025,2025,2025,2025-04-12,2025-04-14,2,False,1,1,1,0,0,False,within_openwater_calendar_span
247,2025,2025,2025,2025-04-14,2025-04-27,13,False,12,12,12,0,0,False,within_openwater_calendar_span
248,2025,2025,2025,2025-04-27,2025-05-04,7,False,6,6,6,0,0,False,within_openwater_calendar_span
249,2025,2025,2025,2025-05-04,2025-05-07,3,False,2,2,2,0,0,False,within_openwater_calendar_span
250,2025,2025,2025,2025-05-07,2025-05-12,5,False,4,4,4,0,0,False,within_openwater_calendar_span
251,2025,2025,2025,2025-05-12,2025-05-14,2,False,1,1,1,0,0,False,within_openwater_calendar_span
252,2025,2025,2025,2025-05-14,2025-05-15,1,False,0,0,0,0,0,False,within_openwater_calendar_span
253,2025,2025,2025,2025-05-15,2025-05-20,5,False,4,4,4,0,0,False,within_openwater_calendar_span
254,2025,2025,2025,2025-05-20,2025-05-27,7,False,6,6,6,0,0,False,within_openwater_calendar_span
255,2025,2025,2025,2025-05-27,2025-06-01,5,False,4,4,4,0,0,False,within_openwater_calendar_span
256,2025,2025,2025,2025-06-01,2025-06-03,2,False,1,1,1,0,0,False,within_openwater_calendar_span
257,2025,2025,2025,2025-06-03,2025-06-14,11,False,10,10,10,0,0,False,within_openwater_calendar_span
258,2025,2025,2025,2025-06-14,2025-06-26,12,False,11,11,11,0,0,False,within_openwater_calendar_span
259,2025,2025,2025,2025-06-26,2025-07-03,7,False,6,6,6,0,0,False,within_openwater_calendar_span
260,2025,2025,2025,2025-07-03,2025-07-04,1,False,0,0,0,0,0,False,within_openwater_calendar_span
