rule_id,rule_label,rule_role,year,n_products,n_products_passing,product_pass_fraction,n_candidate_dates,n_usable_dates,date_retention_fraction,first_usable_date,last_usable_date
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2019,96,35,0.3645833333,96,35,0.3645833333,2019-04-17,2019-12-05
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2020,134,56,0.4179104478,134,56,0.4179104478,2020-01-19,2020-11-22
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2021,137,48,0.3503649635,137,48,0.3503649635,2021-02-27,2021-12-17
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2022,134,38,0.2835820896,134,38,0.2835820896,2022-03-24,2022-12-09
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2023,136,36,0.2647058824,136,36,0.2647058824,2023-01-01,2023-11-29
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2024,136,41,0.3014705882,136,41,0.3014705882,2024-03-28,2024-11-28
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,2025,177,59,0.3333333333,153,53,0.3464052288,2025-01-20,2025-11-26
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2019,96,35,0.3645833333,96,35,0.3645833333,2019-04-17,2019-12-05
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2020,134,56,0.4179104478,134,56,0.4179104478,2020-01-19,2020-11-22
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2021,137,48,0.3503649635,137,48,0.3503649635,2021-02-27,2021-12-17
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2022,134,38,0.2835820896,134,38,0.2835820896,2022-03-24,2022-12-09
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2023,136,36,0.2647058824,136,36,0.2647058824,2023-01-01,2023-11-29
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2024,136,41,0.3014705882,136,41,0.3014705882,2024-03-28,2024-11-28
bad1_water8_centernotbad_p1_class2zero,Allow one persistent non-water pixel,diagnostic,2025,177,59,0.3333333333,153,53,0.3464052288,2025-01-20,2025-11-26
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2019,96,35,0.3645833333,96,35,0.3645833333,2019-04-17,2019-12-05
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2020,134,56,0.4179104478,134,56,0.4179104478,2020-01-19,2020-11-22
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2021,137,48,0.3503649635,137,48,0.3503649635,2021-02-27,2021-12-17
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2022,134,38,0.2835820896,134,38,0.2835820896,2022-03-24,2022-12-09
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2023,136,36,0.2647058824,136,36,0.2647058824,2023-01-01,2023-11-29
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2024,136,41,0.3014705882,136,41,0.3014705882,2024-03-28,2024-11-28
bad1_water8_centernotbad_p0_class2one,Allow one class-2 pixel,diagnostic,2025,177,59,0.3333333333,153,53,0.3464052288,2025-01-20,2025-11-26
