omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2019,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.14001657382534144,6
2020,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.09825133923339853,6
2021,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.099129985604061388,6
2022,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.11793391639784429,6
2023,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.13861352278994329,6
2024,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.13332279664250746,6
2025,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.12739531196075812,6
2019,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,1.0965678363481801,6
2020,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.75327206324740548,6
2021,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.70497382233154227,6
2022,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.97528204165311472,6
2023,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,1.1299053698993571,6
2024,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,1.1021225411692928,6
2025,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,1.0832596876629077,6
2019,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,37.19092684193425,6
2020,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,30.969259244831736,6
2021,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,26.290399417771862,6
2022,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,31.639418710179072,6
2023,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,27.083933981672018,6
2024,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,23.672797954444992,6
