method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,4,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,158.87258593353181,88.456207631944466,237.33838841964305,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,36.178571428571431,1.5714285714285714,92.892857142857139,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.092910341614497086,0.058173756299694505,0.13175528627039612,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.80260483791662807,0.25110412070665505,1.4405751413566115,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20643035518063332,0.15735322132494081,0.2514863853857553,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85812519956328059,0.81287572862346791,0.90499517310277711,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,4,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.4090462868991533,2.7859151684291268,6.1775274640198061,7,7,83,0,83,0,0.060955547200774701,2.1056768559366836,0.032327586206896401,0.85991379310344807,4,4,15,42
linear_interpolation,10,5,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,300.18000300000023,300.18000300000023,300.18000300000023,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,200,200,200,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11929406878293181,0.11929406878293181,0.11929406878293181,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.4266722594192156,1.4266722594192156,1.4266722594192156,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.27093002886740164,0.27093002886740164,0.27093002886740164,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.75390160950805207,0.75390160950805207,0.75390160950805207,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,10,5,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,8.1222858411737739,8.1222858411737739,8.1222858411737739,1,1,5,0,5,0,0.218904559900131,0.25618097835921633,0.48199999999999982,0.498,5,5,17,17
linear_interpolation,20,1,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,136.26234743885442,70.738011029763499,226.06894935806341,7,7,196,0,196,0,0.025285744316099298,3.8536867819629417,0.046666666666666502,0.95961538461538465,1,1,22,52
