year,method,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2022,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.30635442771966365,400,20,90
2023,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.55564180324752499,400,42,117
2024,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.34211809978477675,400,20,68
2025,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.14316936470711591,400,15,67
2019,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.073405403962756396,400,25,72
2020,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,0.049714274576225216,400,22,78
2021,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,0.16600348387649663,400,15,65
2022,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.17290914541037383,400,20,90
2023,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.20511069706357968,400,42,117
2024,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.19721209886528687,400,20,68
2025,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,,400,15,67
2019,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.027200564469117002,400,0.077253218884119998,0.1373390557939913
2020,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.26761629991401981,400,0.095709570957095702,0.1683168316831683
2021,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.12262525388468813,400,0.091954022988505704,0.160919540229885
2022,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.40630544094691451,400,0.080508474576271,0.1398305084745762
2023,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.14519867218981253,400,0.062780269058295798,0.1076233183856502
2024,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.31635177603045744,400,0.092920353982300696,0.15929203539823
2025,timesat_double_logistic,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.17294786283468019,400,0.099601593625498003,0.1713147410358565
2019,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.29351497388661335,400,0.077253218884119998,0.1373390557939913
2020,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.58666198568833827,400,0.095709570957095702,0.1683168316831683
2021,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.50381861302701747,400,0.091954022988505704,0.160919540229885
2022,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.30623775017908506,400,0.080508474576271,0.1398305084745762
2023,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.51421762991259035,400,0.062780269058295798,0.1076233183856502
2024,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.48487966527975912,400,0.092920353982300696,0.15929203539823
2025,timesat_double_logistic,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.25114438991226473,400,0.099601593625498003,0.1713147410358565
2019,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.0951063937422362,400,0.077253218884119998,0.1373390557939913
2020,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,-0.16776705115440879,400,0.095709570957095702,0.1683168316831683
2021,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,-0.20053547619260848,400,0.091954022988505704,0.160919540229885
2022,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.21483446221182986,400,0.080508474576271,0.1398305084745762
2023,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.14495013494725914,400,0.062780269058295798,0.1076233183856502
2024,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.2198868309421608,400,0.092920353982300696,0.15929203539823
2025,timesat_double_logistic,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,,400,0.099601593625498003,0.1713147410358565
2019,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.21554896443671148,400,25,72
2020,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.18634522739236653,400,22,78
2021,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.12162845914899716,400,15,65
2022,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.14725599476357834,400,20,90
2023,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.086361123498337189,400,42,117
2024,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.14182031566228612,400,20,68
2025,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.13201852816892981,400,15,67
2019,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,-0.21774042614534994,400,25,72
2020,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.54820509135631923,400,22,78
2021,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.5725698188186461,400,15,65
2022,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.1199897383343686,400,20,90
2023,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.50300111096538214,400,42,117
2024,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.35044143794970556,400,20,68
2025,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,-0.042635021281826488,400,15,67
2019,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.11150388490528468,400,25,72
2020,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.01210159060929932,400,22,78
2021,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.23659965368131766,400,15,65
2022,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,0.16548527914529956,400,20,90
2023,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.19987891141123015,400,42,117
2024,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,-0.082127168297234918,400,20,68
2025,timesat_smoothing_spline,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,,400,15,67
2019,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.28328359876390086,400,0.077253218884119998,0.1373390557939913
2020,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.27829291298703385,400,0.095709570957095702,0.1683168316831683
2021,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.11665216038382549,400,0.091954022988505704,0.160919540229885
2022,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.30609320796320316,400,0.080508474576271,0.1398305084745762
2023,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.29720319774095011,400,0.062780269058295798,0.1076233183856502
2024,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.17413881212717772,400,0.092920353982300696,0.15929203539823
2025,timesat_smoothing_spline,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,0.27859527369698855,400,0.099601593625498003,0.1713147410358565
