duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
20,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.48276621686192911,-0.75660493384799632,-0.22763165163054966,0.48276621686192911,0.23244494079352998,0.76150710995012194,7,7,0,0
20,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.042879183466862134,-0.07256720076749168,-0.017891868236886738,0.042879183466862134,0.017637237711674861,0.073407041993662298,7,7,0,0
20,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.092562131947558343,-0.058134536437585697,0.36075466912304593,0.092562131947558343,-0.057985576533506208,0.36261088387281387,7,1,4,2
20,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.024011775950341541,-0.046692157797070463,0.13964803312629398,0.024011775950341541,-0.047002744474938622,0.13964803312629398,7,1,3,3
20,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.027063834179660833,-0.38557490879185646,0.39831274838771086,0.027063834179660833,-0.38557385205514633,0.42545362046038537,7,2,3,2
20,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.11781143731283807,0.05471941009653003,0.18506019268309731,0.11781143731283807,0.055410696499415955,0.18697286465889018,7,7,0,0
20,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.89279693577396935,-1.5624974932254112,-0.32379158124003488,0.89279693577396935,0.32115223132835019,1.5331601086066851,7,7,0,0
20,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,-31.019389875597295,-49.633044929998938,-10.021745402665029,31.019389875597295,9.6555916403675486,50.274774039655235,7,6,1,0
20,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-15.369667585705718,-43.803620847170237,0.45205025035522611,15.369667585705718,-0.53354870780066821,43.739523792110909,7,5,2,0
20,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,-0.021160979035191929,-0.035411255271966875,-0.0068919299678241452,0.021160979035191929,0.0069107027984169822,0.035192196315901647,7,6,1,0
20,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.21275750485078673,-0.41354039091796146,-0.060001208368011032,0.21275750485078673,0.060001208368011032,0.40897968381543476,7,7,0,0
20,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.021715385377232801,-0.035194791883056797,-0.0077197137212449375,0.021715385377232801,0.0078191856382767485,0.035314338209262892,7,6,1,0
20,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.076110471355900239,-0.043096570181808062,0.28665799990370261,0.076110471355900239,-0.043596784650647966,0.28725386921643298,7,1,3,3
20,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,-0.022503903492167163,-0.048181540863957463,0.0027901264234317311,-0.022503903492167163,-0.047002744474938622,0.0027901264234317311,7,1,3,3
20,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.098591289936967086,-0.051827242524916946,0.35327214441559712,0.098591289936967086,-0.049736650190422171,0.35327214441559712,7,2,2,3
20,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.036751027725266713,0.016075698639987812,0.059726134710585313,0.036751027725266713,0.016074188449726544,0.060013486121089574,7,7,0,0
20,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.41172225853828498,-0.69977014180302766,-0.12793566823504302,0.41172225853828498,0.12793566823504302,0.69977014180302766,7,6,1,0
20,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,43.608112888931501,-32.688711708698335,100.80232087780358,-43.608112888931501,-100.27213496807296,32.403049045190528,7,1,6,0
20,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-7.2737803890131838,-22.704651116642644,3.5177723465238104,7.2737803890131838,-3.4914663330664495,22.558303050855482,7,4,3,0
20,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.028305922140751682,-0.013543488826742011,0.058667299529999974,-0.028305922140751682,-0.058951181757456075,0.013654292659241157,7,1,6,0
20,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.2700087120111424,-0.40632728878482904,-0.11819414793520115,0.2700087120111424,0.11747192392037065,0.40959231392817197,7,6,1,0
20,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.021163798089629336,-0.044375727263403698,0.0023987516638539408,0.021163798089629336,-0.00171197672835339,0.044463599876365403,7,5,2,0
20,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.016451660591658097,-0.3303089319127811,0.37784089952700767,0.016451660591658097,-0.33087287758222278,0.37784089952700767,7,3,2,2
20,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.046515679442508708,-0.010452961672473877,0.14999999999999997,0.046515679442508708,-0.010452961672473877,0.14999999999999997,7,1,1,5
20,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,-0.071527455757306235,-0.44199041121742561,0.32078234172490505,-0.071527455757306235,-0.44199041121742561,0.31397902964893842,7,2,3,2
20,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.081060409587571353,0.028496199148432568,0.13429267654590005,0.081060409587571353,0.027612987591737359,0.13497152911984164,7,5,2,0
20,timesat_smoothing_spline,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.48107467723568426,-0.90436294795566996,-0.033118011768789223,0.48107467723568426,0.029311850108147804,0.91792989889497734,7,5,2,0
30,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,3.4076034593852813,-42.367494517353649,42.149299269791307,-3.4076034593852813,-42.149299269791307,44.828996152145628,7,2,5,0
30,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-21.259177595449319,-48.304149366468209,0.061314302161924114,21.259177595449319,-0.012242977178982832,48.329005533403581,7,5,2,0
