omitted_year,method,metric,metric_label,unit,favorable_direction,equal_year_estimate_after_omission,n_years_retained
2023,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2024,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2025,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.83333333333333337,6
2019,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2020,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2021,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2022,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2023,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2024,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2025,linear_interpolation,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2019,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2020,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2021,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2022,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2023,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2024,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2025,linear_interpolation,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2019,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.87204821330112259,6
2020,linear_interpolation,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8528709837601065,6
