scenario_family,level_name,level_value,method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2835689805013793,0.26189419752949944,0.30737836075303976,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.71383079126342452,0.66890956880135699,0.75750452479743413,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.482336986703157,0.16928833985827102,0.73787201280641979,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,61.58183109087414,15.646389279425055,117.50946614930706,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,252.40171770318804,186.15088659160119,326.53608737662358,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.29285571109045011,0.19037462422881654,0.38420650556873465,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.28913048138190617,0.2634989915244485,0.31718295224461329,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.67239130000498248,0.62743688570431111,0.71972367403018545,7,1367,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.1542857142857143,0,0.42571428571428577,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,9.2928571428571445,-0.35857142857142982,23.854285714285712,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-4.9860035585862716,-22.259406116865119,19.340329771505026,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.15761904761904763,-0.0033333333333333435,0.35238095238095246,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.010633838410938064,0.0037330252231340716,0.017305663773695829,7,700,0
random_deletion,deletion_fraction,0.10000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.032667017217159366,0.0089548108479964948,0.057214392261704418,7,700,0
