year,method,duration_days,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2025,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,224,0.021999999999999902,0.97799999999999998
2019,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.48825375785823355,207,0.025285744316099298,11.128388419283166
2020,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.37584891231014156,261,0.15771353424957371,7.6760513368693362
2021,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.46152611800580662,240,0.1341184520346573,3.5898938045188946
2022,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.49175840639301821,215,0.15818383005108941,7.3062726367413138
2023,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.13131756121271862,167,0.29375782833441477,3.1924583990326374
2024,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.50102300735387884,205,0.171406115102678,7.6615928867289567
2025,linear_interpolation,20,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.02096124761208534,230,0.083231499093957301,8.4836828108751803
2019,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.15528818366839731,207,0.025285744316099298,11.128388419283166
2020,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.6938469231419081,261,0.15771353424957371,7.6760513368693362
2021,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.83755798245730462,240,0.1341184520346573,3.5898938045188946
2022,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.36446141641224566,215,0.15818383005108941,7.3062726367413138
2023,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,-0.077739947336384771,167,0.29375782833441477,3.1924583990326374
2024,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.71754807580603708,205,0.171406115102678,7.6615928867289567
2025,linear_interpolation,20,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,-0.12369168920013823,230,0.083231499093957301,8.4836828108751803
2019,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.44811127315150956,207,0.025285744316099298,11.128388419283166
2020,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,261,0.15771353424957371,7.6760513368693362
2021,linear_interpolation,20,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.40808594832183259,240,0.1341184520346573,3.5898938045188946
