method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10160578720866624,0.076459108477200305,0.13524145305969643,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.86865687020784499,0.33655000702959642,1.4856397010742557,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22499199281442842,0.18855199199105721,0.25707907797033097,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.63428571428571434,0.32714285714285712,0.90428571428571425,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68571428571428583,0.35714285714285721,0.95714285714285718,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.51571428571428568,0.19285714285714289,0.82714285714285718,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8249348310381629,0.7913664969097588,0.86289874374124376,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,4.7540643111700032,3.3676503144259669,6.2783259438055046,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.5,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,213.09577172980562,157.11933155428571,278.66176910244042,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
linear_interpolation,0.5,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,40.677142857142861,8.2714285714285722,87.530000000000001,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
