year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2024,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.022110178605547301,0.040827926022089303,-0.018717747416542002,0.018717747416542002
2025,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.0927123719474129,0.0070079517210706,0.085704420226342296,-0.085704420226342296
2019,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.2234391125793964,4.2311019493418023,-1.0076628367624059,1.0076628367624059
2020,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.5241441110177272,3.0294291078473137,-1.5052849968295865,1.5052849968295865
2021,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.0943388259749554,2.7649537672713524,-1.6706149412963971,1.6706149412963971
2022,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.5119059852833443,2.6259611057443619,-1.1140551204610176,1.1140551204610176
2023,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.1504836782057779,1.3450203008213824,-0.19453662261560445,0.19453662261560445
2024,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.9195744852429533,2.6850856691507725,-0.76551118390781925,0.76551118390781925
2025,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.8853107354517409,4.6919608880097714,-0.80665015255803052,0.80665015255803052
2019,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1084168127021696,1.3772426575877084,-0.26882584488553873,0.26882584488553873
2020,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.17947924654533451,1.2794545539353686,-1.099975307390034,1.099975307390034
2021,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0,0.98326775087179963,-0.98326775087179963,0.98326775087179963
2022,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,2.3411147340806786,2.6137357946175994,-0.27262106053692081,0.27262106053692081
2023,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0,0.0032627228755110998,-0.0032627228755110998,0.0032627228755110998
2024,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.52559271513286043,1.1623474375026812,-0.63675472236982078,0.63675472236982078
2025,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.4266722594192156,1.7109864917715814,-0.28431423235236575,0.28431423235236575
2019,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26288729503827002,0.27219968749762552,-0.0093123924593555008,0.0093123924593555008
2020,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.1440014905395498,0.2544808156460599,-0.1104793251065101,0.1104793251065101
2021,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.092279945871914099,0.21032940574689091,-0.11804945987497681,0.11804945987497681
2022,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2758177999996948,0.33494913303686952,-0.059131333037174716,0.059131333037174716
2023,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.1720799384738452,0.17826547736930359,-0.0061855388954583923,0.0061855388954583923
2024,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2113979799410835,0.2256556615274308,-0.014257681586347298,0.014257681586347298
2025,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26577856783337478,0.27731404480319322,-0.011535476969818437,0.011535476969818437
