year,method,duration_days,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,a_gap_minimum,a_gap_maximum,window_midpoint_relative_position_minimum,window_midpoint_relative_position_maximum,observations_removed_minimum,observations_removed_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2020,linear_interpolation,10,242,0,0,0.0069078347491259001,4.9937408138789818,0.02,0.9622222222222222,1,4,22,42,3.2815816616149167,242,0,0.15588381126528639,242,0,35.958677685950413,242,0,0,242,0,0,0,242,0,0,0,242,0,0,0.19576931708467887,242,0,115.14225712293367,242,0,0.060058644308074748,242,0,0.91403855513241083,242,0
2020,linear_interpolation,20,261,0,0,0.15771353424957371,7.6760513368693362,0.042222222222222203,0.95333333333333325,1,8,22,50,3.4878614402346737,261,0,0.1656826465203515,261,0,40.195402298850574,261,0,0,261,0,0,0,261,0,0,0,261,0,0,0.20968765321599608,261,0,129.83116032183889,261,0,0.067720432729999613,261,0,0.90037197818813697,261,0
2020,linear_interpolation,30,243,0,0,0.3362223017416513,8.8796529494701559,0.064444444444444401,0.93111111111111122,1,11,32,60,3.7776827930102819,243,0,0.17944992758032968,243,0,45.814814814814817,243,0,0,243,0,0,0,243,0,0,0,243,0,0,0.22814834618140037,243,0,154.23351932588028,243,0,0.080448797070963696,243,0,0.88134389493273257,243,0
2020,linear_interpolation,45,213,0,0,0.59362593348043013,12.345151944100412,0.0977777777777777,0.89777777777777756,2,14,47,70,4.2321152582782116,213,0,0.20103667200825417,213,0,56.352112676056336,213,0,0,213,0,0,0,213,0,0,0,213,0,0,0.26276510014789795,213,0,197.63644592998361,213,0,0.1030879305739852,213,0,0.84880780817489032,213,0
2020,timesat_double_logistic,10,242,0,0,0.0069078347491259001,4.9937408138789818,0.02,0.9622222222222222,1,4,22,42,5.4117756087943114,242,0,0.2570736597778952,242,0,144.92148760330579,242,0,0,242,0,0,0,242,0,0,0.024793388429752067,242,0,0,1.2746605981853762,242,0,48.851487545669471,242,0,0.025481123852672198,242,0,0.660440486044238,242,0
2020,timesat_double_logistic,20,261,0,0,0.15771353424957371,7.6760513368693362,0.042222222222222203,0.95333333333333325,1,8,22,50,5.4711315291659366,261,0,0.25989322303817203,261,0,142.36398467432952,261,0,0.030651340996168581,261,0,0,0.030651340996168581,261,0,0,0.053639846743295021,261,0,0,1.264128230582545,261,0,76.34145105425182,261,0,0.039819994582305139,261,0,0.656095295342351,261,0
2020,timesat_double_logistic,30,243,0,0,0.3362223017416513,8.8796529494701559,0.064444444444444401,0.93111111111111122,1,11,32,60,5.572781512123937,243,0,0.26472186617202809,243,0,136.86831275720164,243,0,0.053497942386831275,243,0,0,0.053497942386831275,243,0,0,0.090534979423868317,243,0,0,1.25623642185773,243,0,110.75810966611439,243,0,0.057771856127240853,243,0,0.64739444719138572,243,0
2020,timesat_double_logistic,45,213,0,0,0.59362593348043013,12.345151944100412,0.0977777777777777,0.89777777777777756,2,14,47,70,5.9047796283753282,213,0,0.28049265508748478,213,0,130.18779342723005,213,0,0.070422535211267609,213,0,0,0.093896713615023469,213,0,0,0.14553990610328638,213,0,0,1.2288586877690846,213,0,204.35382763563567,213,0,0.10659174271578287,213,0,0.62491521051025278,213,0
2020,timesat_smoothing_spline,10,242,0,0,0.0069078347491259001,4.9937408138789818,0.02,0.9622222222222222,1,4,22,42,4.2204710468447075,242,0,0.20048354115715722,242,0,140.06611570247935,242,0,0.0371900826446281,242,0,0,0.057851239669421489,242,0,0,0.057851239669421489,242,0,0,0.96393713141923809,242,0,141.49656891881779,242,0,0.073805154735112774,242,0,0.82314071584205528,242,0
2020,timesat_smoothing_spline,20,261,0,0,0.15771353424957371,7.6760513368693362,0.042222222222222203,0.95333333333333325,1,8,22,50,4.4113425485660427,261,0,0.20955044249265772,261,0,138.68199233716476,261,0,0.034482758620689655,261,0,0,0.053639846743295021,261,0,0,0.053639846743295021,261,0,0,0.95325940186401537,261,0,159.68110137404997,261,0,0.083290276826052792,261,0,0.80787543632617265,261,0
2020,timesat_smoothing_spline,30,243,0,0,0.3362223017416513,8.8796529494701559,0.064444444444444401,0.93111111111111122,1,11,32,60,4.8079748994152469,243,0,0.22839152855938605,243,0,139.25514403292181,243,0,0.00411522633744856,243,0,0,0.037037037037037035,243,0,0,0.037037037037037035,243,0,0,0.92631381362613852,243,0,218.43210462464396,243,0,0.11393502615733173,243,0,0.78084462276917466,243,0
2020,timesat_smoothing_spline,45,213,0,0,0.59362593348043013,12.345151944100412,0.0977777777777777,0.89777777777777756,2,14,47,70,5.393763087916124,213,0,0.25621801737903888,213,0,134.5399061032864,213,0,0.0046948356807511738,213,0,0,0.028169014084507043,213,0,0,0.065727699530516437,213,0,0,0.89876523727331759,213,0,309.41111407616449,213,0,0.16139002751548673,213,0,0.7409572311588396,213,0
2021,linear_interpolation,10,235,0,0,0.033978582173656,2.165432781902763,0.0211538461538461,0.97115384615384603,1,4,15,25,2.2400484488907706,235,0,0.10110205394719465,235,0,2.7234042553191489,235,0,0.97872340425531912,235,0,0,0.97872340425531912,235,0,0,0.97872340425531912,235,0,0,0.020576915137868083,235,0,97.7913464893617,235,0,0.066527090427890456,235,0,0.95837720985512609,235,0
2021,linear_interpolation,20,240,0,0,0.1341184520346573,3.5898938045188946,0.0403846153846152,0.95961538461538465,1,7,22,37,2.6096190225837583,240,0,0.11778220392221254,240,0,7.791666666666667,240,0,0.9375,240,0,0,0.9375,240,0,0,0.9375,240,0,0,0.044002795742311494,240,0,125.96892235416666,240,0,0.085696190812458245,240,0,0.93222101898779264,240,0
2021,linear_interpolation,30,230,0,0,0.23456748890045301,4.0333918418725858,0.059615384615384501,0.94038461538461515,2,9,32,48,2.7896631915213779,230,0,0.12590829391362443,230,0,8.1304347826086953,230,0,0.93478260869565222,230,0,0,0.93478260869565222,230,0,0,0.93478260869565222,230,0,0,0.045915960774585908,230,0,141.28498200869564,230,0,0.096115649406850981,230,0,0.91840050960383657,230,0
2021,linear_interpolation,45,215,0,0,0.36111473435784203,4.3476156453849937,0.0884615384615383,0.91153846153846163,5,14,47,65,3.1468741140624314,215,0,0.14203060500879564,215,0,8.6976744186046506,215,0,0.93023255813953487,215,0,0,0.93023255813953487,215,0,0,0.93023255813953487,215,0,0,0.049119399898394228,215,0,194.71105231162787,215,0,0.13246120694180799,215,0,0.8985116380230973,215,0
2021,timesat_double_logistic,10,235,0,0,0.033978582173656,2.165432781902763,0.0211538461538461,0.97115384615384603,1,4,15,25,4.7578111270446959,235,0,0.2147384256243344,235,0,46.842553191489358,235,0,0.021276595744680851,235,0,0,0.042553191489361701,235,0,0,0.69787234042553192,235,0,0,0.97014968633775278,235,0,145.82745179466883,235,0,0.099205874759768803,235,0,0.69943581888408835,235,0
