method,duration_days,activity_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,162.49553020865866,93.13748840074814,244.76687613071888,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.710714285714289,91.142857142857139,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.094867199579863531,0.061384858625382996,0.13389957693465684,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717985,0.23526493604831042,1.43850441400013,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20684980935447142,0.15890907580801733,0.25170019151135564,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85827076372502098,0.81237436452465051,0.90585171708825796,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
linear_interpolation,10,medium,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.4157282952350929,2.8018404005467485,6.1551661264225919,7,7,459,0,459,0,0.16243065575358301,0.64046059705410452,0.0211538461538461,0.97799999999999998,1,5,15,52
