deletion_fraction,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_random_deletion,global-peak timing success <=10 d,fraction,higher,0.011428571428571408,-0.34428571428571431,0.40857142857142853,0.011428571428571408,-0.34142857142857153,0.40857142857142853,7,2,2,3
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_random_deletion,global-peak timing success <=15 d,fraction,higher,0.071428571428571411,-0.017142857142857158,0.21428571428571425,0.071428571428571411,-0.017142857142857158,0.21428571428571425,7,2,1,4
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_controlled_random_deletion,global-peak timing success <=5 d,fraction,higher,-0.078571428571428584,-0.46289285714285716,0.34864285714285614,-0.078571428571428584,-0.46571428571428569,0.34714285714285714,7,2,3,2
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_controlled_random_deletion,daily trajectory Pearson correlation,correlation,higher,0.085488619212180608,0.028118215322753,0.14135587716667958,0.085488619212180608,0.027661888311492681,0.1425174863555663,7,7,0,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,rmse,primary_controlled_random_deletion,point-wise RMSE,ug_L,lower,-0.57068542971317393,-1.0686350654795651,-0.10955509358902267,0.57068542971317393,0.094878304709061181,1.0596963724401529,7,5,2,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,-4.9121426575602039,-49.682657000121466,34.414356968879844,4.9121426575602039,-34.709674603807386,48.390619879008369,7,4,3,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_random_deletion,absolute global-peak date error,days,lower,-21.617857142857144,-46.236142857142745,0.86142857142857354,21.617857142857144,-0.82428571428571451,45.466428571428573,7,5,2,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_random_deletion,absolute relative common-support integral error,fraction,lower,-0.0027948758477624991,-0.027245700175771076,0.020572658217358042,0.0027948758477624991,-0.020571592416209351,0.026973357838531074,7,4,3,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_random_deletion,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.45956649601077493,-0.72744607215771617,-0.22240566757900307,0.45956649601077493,0.22304759911817154,0.7170261731750539,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_random_deletion,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.041278299841785958,-0.069628913696793887,-0.016198157593509128,0.041278299841785958,0.016395571305652373,0.06946664459882583,7,6,1,0
0.20000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_random_deletion,global-peak timing success <=10 d,fraction,higher,0.079999999999999988,-0.10428571428571427,0.38146428571428515,0.079999999999999988,-0.10428571428571429,0.38142857142857139,7,2,4,1
0.20000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_random_deletion,global-peak timing success <=15 d,fraction,higher,0.065714285714285711,-0.087142857142857161,0.30142857142857143,0.065714285714285711,-0.087142857142857161,0.30285714285714282,7,3,3,1
