method,stratification_variable,covariate_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.40999999999999998,0.019,0.80099999999999993,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.49800000000000005,0.124,0.87200000000000011,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.38200000000000001,0.0040000000000000001,0.77800000000000002,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.69672364141975895,0.66290691520657108,0.74568839819344246,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,5.6286111919028219,4.4359003669605102,7.1125063545505753,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,239.53000396244821,180.90771801818755,308.85126024347636,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,53.949404761904759,16.238690476190477,105.33400297619048,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.14648056264670845,0.11622259579804702,0.17897571675094875,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3269907964513747,0.80276253883755555,1.8617087196439661,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.28007045394414237,0.25425331952229246,0.30921642460367099,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.57238095238095232,0.24952380952380951,0.85285714285714298,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.62523809523809526,0.31857142857142856,0.88,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.42952380952380953,0.18238095238095239,0.69428571428571417,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.67972440780141152,0.62466936358572056,0.7369993033608212,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,5.8822658043315723,4.3836614603664135,7.3401985927893829,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,178.93055194924233,103.12678906246394,296.63630607041688,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,53.556071428571428,13.247857142857143,107.18714285714285,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10554767725597834,0.068174151346827125,0.16430915524048209,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3095552738058001,0.7797970155303604,1.8567413808560864,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25957164194446319,0.22540418155652289,0.29328494316801323,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.59428571428571431,0.23000000000000001,0.87857142857142867,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.6428571428571429,0.32428571428571429,0.89428571428571424,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.50285714285714278,0.17637500000000003,0.81642857142857139,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.72178092018065765,0.66777674313792368,0.7830975722656861,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,5.5187994086354006,4.0071446112247431,7.0127235784600925,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,152.93572909806795,121.09058800430471,185.75943382050977,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,61.23299999999999,7.3260000000000005,129.773,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.090112673920503872,0.073750817339267027,0.10873867561812593,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1851276700523528,0.62515316985837777,1.8169751443522695,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.23358653539510912,0.18781472636676141,0.26984819672238125,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.41399999999999998,0.11699999999999999,0.747,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.62100000000000011,0.23999999999999999,0.97099999999999986,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.39899999999999997,0.11299999999999999,0.748,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8087351007909509,0.77286341177926821,0.84993235252299948,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,4.9404961390642503,3.8557653907312242,6.5451711383532096,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,248.86921093483596,188.22589302670579,312.48147026943087,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,37.504523809523803,9.6756607142857138,75.152380952380966,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.15142970505888928,0.12339990285492909,0.17958749757095621,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0368578595101638,0.58315438388831697,1.5671178561303469,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.27156916882391047,0.23778592952938332,0.30600732692423877,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
timesat_smoothing_spline,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.59285714285714286,0.33000000000000002,0.82285714285714284,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
