analysis_version,date,year,measurement_regime,observation_method,metric,index_value,CHLF,log10_CHLF,method_specific_support,primary_common_support,source_product_id,valid_pixel_count
erken_s2_chlf_matchup_analysis_v1.0,2019-06-06,2019,pre_2023,L2A,NDCI,0.028248587570621493,1.57096,0.19616512711480744,True,False,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-06,2019,pre_2023,L2A,MCI,0.0002866666666666677,1.57096,0.19616512711480744,True,False,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,L1C,NDCI,-0.06750524109014677,1.46474,0.16576054169601184,True,True,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,L1C,MCI,-0.00257166666666667,1.46474,0.16576054169601184,True,True,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,L2A,NDCI,0.013824884792626725,1.46474,0.16576054169601184,True,True,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,L2A,MCI,-0.0003933333333333341,1.46474,0.16576054169601184,True,True,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,ACOLITE,NDCI,0.02593191399170248,1.46474,0.16576054169601184,True,True,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-08,2019,pre_2023,ACOLITE,MCI,-0.0023857407271862027,1.46474,0.16576054169601184,True,True,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,L1C,NDCI,-0.0666086199390509,3.2976,0.5181979744351377,True,True,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,L1C,MCI,-0.0013850000000000008,3.2976,0.5181979744351377,True,True,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,L2A,NDCI,0.004484304932735399,3.2976,0.5181979744351377,True,True,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,L2A,MCI,0.0003999999999999993,3.2976,0.5181979744351377,True,True,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,ACOLITE,NDCI,0.01162527054198057,3.2976,0.5181979744351377,True,True,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-18,2019,pre_2023,ACOLITE,MCI,-0.0008437815432747204,3.2976,0.5181979744351377,True,True,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,L1C,NDCI,-0.05380333951762529,1.89709,0.2780879347770145,True,True,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,L1C,MCI,-0.0019233333333333325,1.89709,0.2780879347770145,True,True,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,L2A,NDCI,0.036144578313253004,1.89709,0.2780879347770145,True,True,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,9
erken_s2_chlf_matchup_analysis_v1.0,2019-06-28,2019,pre_2023,L2A,MCI,-0.00047333333333333255,1.89709,0.2780879347770145,True,True,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,9
