date,year,n_products_on_date,n_products_passing,s2_date_usable,all_product_ids,product_pass_status,date_rescued_by_alternate_product,selected_product_id,selected_platform,selected_acquisition_datetime,selected_processing_baseline,selected_central_scl,selected_water_pixel_count_3x3,selected_bad_pixel_count_3x3,selected_persistent_nonwater_pixel_count_3x3,selected_class2_pixel_count_3x3,selected_water_fraction_3x3,selected_bad_scl_fraction_3x3,selected_persistent_nonwater_fraction_3x3,qc_rule_id,mask_version,reason_if_unusable
2019-05-12,2019,1,0,False,S2B_MSIL2A_20190512T102029_N0500_R065_T34VCM_20221210T130108,S2B_MSIL2A_20190512T102029_N0500_R065_T34VCM_20221210T130108=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-14,2019,1,0,False,S2A_MSIL2A_20190514T101031_N0500_R022_T34VCM_20230618T024547,S2A_MSIL2A_20190514T101031_N0500_R022_T34VCM_20230618T024547=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-17,2019,1,1,True,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718=pass,False,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,S2A,2019-05-17T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-05-19,2019,1,0,False,S2B_MSIL2A_20190519T101039_N0500_R022_T34VCM_20221212T233059,S2B_MSIL2A_20190519T101039_N0500_R022_T34VCM_20221212T233059=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-24,2019,1,0,False,S2A_MSIL2A_20190524T101031_N0500_R022_T34VCM_20221216T102525,S2A_MSIL2A_20190524T101031_N0500_R022_T34VCM_20221216T102525=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-27,2019,1,0,False,S2A_MSIL2A_20190527T102031_N0500_R065_T34VCM_20221218T171850,S2A_MSIL2A_20190527T102031_N0500_R065_T34VCM_20221218T171850=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-05-29,2019,1,1,True,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958=pass,False,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,S2B,2019-05-29T10:10:39Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-06-01,2019,1,0,False,S2B_MSIL2A_20190601T102029_N0500_R065_T34VCM_20230724T191309,S2B_MSIL2A_20190601T102029_N0500_R065_T34VCM_20230724T191309=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-03,2019,1,0,False,S2A_MSIL2A_20190603T101031_N0500_R022_T34VCM_20230628T141213,S2A_MSIL2A_20190603T101031_N0500_R022_T34VCM_20230628T141213=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-06,2019,1,1,True,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741=pass,False,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,S2A,2019-06-06T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-06-08,2019,1,1,True,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325=pass,False,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,S2B,2019-06-08T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-06-11,2019,1,0,False,S2B_MSIL2A_20190611T102029_N0500_R065_T34VCM_20221220T092351,S2B_MSIL2A_20190611T102029_N0500_R065_T34VCM_20221220T092351=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-13,2019,1,0,False,S2A_MSIL2A_20190613T101031_N0500_R022_T34VCM_20230723T001603,S2A_MSIL2A_20190613T101031_N0500_R022_T34VCM_20230723T001603=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-16,2019,1,0,False,S2A_MSIL2A_20190616T102031_N0500_R065_T34VCM_20230609T034634,S2A_MSIL2A_20190616T102031_N0500_R065_T34VCM_20230609T034634=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-18,2019,1,1,True,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433=pass,False,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,S2B,2019-06-18T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-06-21,2019,1,0,False,S2B_MSIL2A_20190621T102029_N0500_R065_T34VCM_20230711T175020,S2B_MSIL2A_20190621T102029_N0500_R065_T34VCM_20230711T175020=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-23,2019,1,0,False,S2A_MSIL2A_20190623T101031_N0500_R022_T34VCM_20230619T112816,S2A_MSIL2A_20190623T101031_N0500_R022_T34VCM_20230619T112816=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-26,2019,1,0,False,S2A_MSIL2A_20190626T102031_N0500_R065_T34VCM_20230707T172528,S2A_MSIL2A_20190626T102031_N0500_R065_T34VCM_20230707T172528=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-06-28,2019,1,1,True,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427=pass,False,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,S2B,2019-06-28T10:10:39Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-01,2019,1,0,False,S2B_MSIL2A_20190701T102029_N0500_R065_T34VCM_20230809T195545,S2B_MSIL2A_20190701T102029_N0500_R065_T34VCM_20230809T195545=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-03,2019,1,0,False,S2A_MSIL2A_20190703T101031_N0500_R022_T34VCM_20230717T112620,S2A_MSIL2A_20190703T101031_N0500_R022_T34VCM_20230717T112620=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-06,2019,1,0,False,S2A_MSIL2A_20190706T102031_N0500_R065_T34VCM_20230719T174117,S2A_MSIL2A_20190706T102031_N0500_R065_T34VCM_20230719T174117=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-08,2019,1,0,False,S2B_MSIL2A_20190708T101039_N0500_R022_T34VCM_20230603T212338,S2B_MSIL2A_20190708T101039_N0500_R022_T34VCM_20230603T212338=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-11,2019,1,1,True,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255=pass,False,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,S2B,2019-07-11T10:20:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-13,2019,1,0,False,S2A_MSIL2A_20190713T101031_N0500_R022_T34VCM_20230630T171940,S2A_MSIL2A_20190713T101031_N0500_R022_T34VCM_20230630T171940=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-16,2019,1,0,False,S2A_MSIL2A_20190716T102031_N0500_R065_T34VCM_20230605T025414,S2A_MSIL2A_20190716T102031_N0500_R065_T34VCM_20230605T025414=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-18,2019,1,1,True,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442=pass,False,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,S2B,2019-07-18T10:10:39Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-21,2019,1,0,False,S2B_MSIL2A_20190721T102029_N0500_R065_T34VCM_20230723T133738,S2B_MSIL2A_20190721T102029_N0500_R065_T34VCM_20230723T133738=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-07-23,2019,1,1,True,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350=pass,False,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,S2A,2019-07-23T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-26,2019,1,1,True,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130=pass,False,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,S2A,2019-07-26T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-28,2019,1,1,True,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005=pass,False,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,S2B,2019-07-28T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-07-31,2019,1,0,False,S2B_MSIL2A_20190731T102029_N0500_R065_T34VCM_20230710T051154,S2B_MSIL2A_20190731T102029_N0500_R065_T34VCM_20230710T051154=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-02,2019,1,1,True,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636=pass,False,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,S2A,2019-08-02T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-05,2019,1,1,True,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615=pass,False,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,S2A,2019-08-05T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-07,2019,1,1,True,S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405,S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405=pass,False,S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405,S2B,2019-08-07T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-10,2019,1,0,False,S2B_MSIL2A_20190810T102029_N0500_R065_T34VCM_20230513T073453,S2B_MSIL2A_20190810T102029_N0500_R065_T34VCM_20230513T073453=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-12,2019,1,0,False,S2A_MSIL2A_20190812T101031_N0500_R022_T34VCM_20230709T144008,S2A_MSIL2A_20190812T101031_N0500_R022_T34VCM_20230709T144008=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-15,2019,1,0,False,S2A_MSIL2A_20190815T102031_N0500_R065_T34VCM_20230720T215905,S2A_MSIL2A_20190815T102031_N0500_R065_T34VCM_20230720T215905=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-17,2019,1,0,False,S2B_MSIL2A_20190817T101029_N0500_R022_T34VCM_20230507T015321,S2B_MSIL2A_20190817T101029_N0500_R022_T34VCM_20230507T015321=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-20,2019,1,0,False,S2B_MSIL2A_20190820T102029_N0500_R065_T34VCM_20230504T021505,S2B_MSIL2A_20190820T102029_N0500_R065_T34VCM_20230504T021505=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-08-22,2019,1,1,True,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034=pass,False,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,S2A,2019-08-22T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-25,2019,1,1,True,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322=pass,False,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,S2A,2019-08-25T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-27,2019,1,1,True,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400=pass,False,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,S2B,2019-08-27T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-08-30,2019,1,0,False,S2B_MSIL2A_20190830T102029_N0500_R065_T34VCM_20230523T223616,S2B_MSIL2A_20190830T102029_N0500_R065_T34VCM_20230523T223616=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-01,2019,1,1,True,S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854,S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854=pass,False,S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854,S2A,2019-09-01T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-09-04,2019,1,1,True,S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148,S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148=pass,False,S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148,S2A,2019-09-04T10:20:21Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-09-06,2019,1,1,True,S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254,S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254=pass,False,S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254,S2B,2019-09-06T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-09-09,2019,1,0,False,S2B_MSIL2A_20190909T102029_N0500_R065_T34VCM_20230502T195235,S2B_MSIL2A_20190909T102029_N0500_R065_T34VCM_20230502T195235=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-11,2019,1,0,False,S2A_MSIL2A_20190911T101021_N0500_R022_T34VCM_20230703T152448,S2A_MSIL2A_20190911T101021_N0500_R022_T34VCM_20230703T152448=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-14,2019,1,0,False,S2A_MSIL2A_20190914T102021_N0500_R065_T34VCM_20230430T090328,S2A_MSIL2A_20190914T102021_N0500_R065_T34VCM_20230430T090328=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-16,2019,1,0,False,S2B_MSIL2A_20190916T101029_N0500_R022_T34VCM_20230627T210013,S2B_MSIL2A_20190916T101029_N0500_R022_T34VCM_20230627T210013=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-19,2019,1,0,False,S2B_MSIL2A_20190919T102019_N0500_R065_T34VCM_20230501T150210,S2B_MSIL2A_20190919T102019_N0500_R065_T34VCM_20230501T150210=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-21,2019,1,0,False,S2A_MSIL2A_20190921T101031_N0500_R022_T34VCM_20230630T094636,S2A_MSIL2A_20190921T101031_N0500_R022_T34VCM_20230630T094636=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-24,2019,1,0,False,S2A_MSIL2A_20190924T102021_N0500_R065_T34VCM_20230503T212747,S2A_MSIL2A_20190924T102021_N0500_R065_T34VCM_20230503T212747=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-09-26,2019,1,1,True,S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823,S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823=pass,False,S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823,S2B,2019-09-26T10:10:29Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-09-29,2019,1,0,False,S2B_MSIL2A_20190929T102029_N0500_R065_T34VCM_20230507T085955,S2B_MSIL2A_20190929T102029_N0500_R065_T34VCM_20230507T085955=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-10-01,2019,1,1,True,S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927,S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927=pass,False,S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927,S2A,2019-10-01T10:10:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-10-04,2019,1,1,True,S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937,S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937=pass,False,S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937,S2A,2019-10-04T10:20:31Z,N0500,6,9,0,0,0,1,0,0,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,
2019-10-06,2019,1,0,False,S2B_MSIL2A_20191006T101029_N0500_R022_T34VCM_20230613T152519,S2B_MSIL2A_20191006T101029_N0500_R022_T34VCM_20230613T152519=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
2019-10-09,2019,1,0,False,S2B_MSIL2A_20191009T102029_N0500_R065_T34VCM_20230709T133629,S2B_MSIL2A_20191009T102029_N0500_R065_T34VCM_20230709T133629=fail,False,,,,,,,,,,,,,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1,no_product_on_date_passed_scene_quality_rule
