date,year,l2a_representative_status,scl_gate_pass,l2a_product_id,l2a_platform,l2a_sensing_datetime,l2a_tile,l2a_relative_orbit,l2a_processing_baseline,l2a_generation_time,l1c_pairing_status,l1c_product_id,l1c_platform,l1c_sensing_datetime,l1c_tile,l1c_relative_orbit,l1c_processing_baseline,l1c_generation_time,l1c_candidate_count,l1c_candidate_product_ids,pairing_detail
2019-06-16,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-18,2019,frozen_representative,True,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,S2B,2019-06-18T10:10:29Z,T34VCM,22,N0500,2023-08-05T16:44:33Z,exact_unique,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,S2B,2019-06-18T10:10:29Z,T34VCM,22,N0500,2023-08-05T07:54:57Z,1,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,
2019-06-21,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-23,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-26,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-06-28,2019,frozen_representative,True,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,S2B,2019-06-28T10:10:39Z,T34VCM,22,N0500,2022-12-22T11:04:27Z,exact_unique,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,S2B,2019-06-28T10:10:39Z,T34VCM,22,N0500,2022-12-21T08:36:05Z,1,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,
2019-07-01,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-03,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-06,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-08,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-11,2019,frozen_representative,True,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,S2B,2019-07-11T10:20:29Z,T34VCM,65,N0500,2023-07-16T05:52:55Z,exact_unique,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,S2B,2019-07-11T10:20:29Z,T34VCM,65,N0500,2023-07-15T21:48:24Z,1,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,
2019-07-13,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-16,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-18,2019,frozen_representative,True,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,S2B,2019-07-18T10:10:39Z,T34VCM,22,N0500,2023-08-06T19:34:42Z,exact_unique,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,S2B,2019-07-18T10:10:39Z,T34VCM,22,N0500,2023-08-06T13:46:26Z,1,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,
2019-07-21,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-07-23,2019,frozen_representative,True,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,S2A,2019-07-23T10:10:31Z,T34VCM,22,N0500,2023-07-19T01:23:50Z,exact_unique,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,S2A,2019-07-23T10:10:31Z,T34VCM,22,N0500,2023-07-18T01:55:29Z,1,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,
2019-07-26,2019,frozen_representative,True,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,S2A,2019-07-26T10:20:31Z,T34VCM,65,N0500,2023-05-09T23:51:30Z,exact_unique,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,S2A,2019-07-26T10:20:31Z,T34VCM,65,N0500,2023-05-09T04:52:52Z,1,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,
2019-07-28,2019,frozen_representative,True,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,S2B,2019-07-28T10:10:29Z,T34VCM,22,N0500,2023-07-11T05:00:05Z,exact_unique,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,S2B,2019-07-28T10:10:29Z,T34VCM,22,N0500,2023-07-10T19:48:56Z,1,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,
2019-07-31,2019,no_representative_frozen_scl_gate_failed,False,,,,,,,,no_l2a_representative_for_date,,,,,,,,0,,The frozen SCL observation mask selected no representative L2A product for this date.
2019-08-02,2019,frozen_representative,True,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,S2A,2019-08-02T10:10:31Z,T34VCM,22,N0500,2023-05-08T04:16:36Z,exact_unique,S2A_MSIL1C_20190802T101031_N0500_R022_T34VCM_20230507T065150,S2A,2019-08-02T10:10:31Z,T34VCM,22,N0500,2023-05-07T06:51:50Z,1,S2A_MSIL1C_20190802T101031_N0500_R022_T34VCM_20230507T065150,
2019-08-05,2019,frozen_representative,True,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,S2A,2019-08-05T10:20:31Z,T34VCM,65,N0500,2023-05-06T21:16:15Z,exact_unique,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,S2A,2019-08-05T10:20:31Z,T34VCM,65,N0500,2023-05-06T11:00:27Z,1,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,
2019-08-07,2019,frozen_representative,True,S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405,S2B,2019-08-07T10:10:29Z,T34VCM,22,N0500,2023-07-23T20:14:05Z,exact_unique,S2B_MSIL1C_20190807T101029_N0500_R022_T34VCM_20230722T223108,S2B,2019-08-07T10:10:29Z,T34VCM,22,N0500,2023-07-22T22:31:08Z,1,S2B_MSIL1C_20190807T101029_N0500_R022_T34VCM_20230722T223108,
