event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code,reconstructed_prominence_diagnostic,original_method,selected_p_seapar,analysis_role,method_display_order
ERK_2021_E02,2021,linear_interpolation,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P008,2021-08-09T00:00:00,0,0,True,True,True,25.183499999999999,0,0,0,ok,,ok,,,linear_interpolation,,frozen_primary_reused,0
ERK_2021_E01,2021,timesat_smoothing_spline,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-05T00:00:00,-3,3,True,True,True,29.197120666503903,-8.6710793334960989,8.6710793334960989,0.39135936144132749,ok,,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2021_E02,2021,timesat_smoothing_spline,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P003,2021-08-08T00:00:00,-1,1,True,True,True,18.565439224243164,-6.6180607757568346,6.6180607757568346,0.29869869015900358,ok,,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2021_E01,2021,timesat_double_logistic_default_seapar1,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.082614898681641,-21.785585101318361,21.785585101318361,0.98326775087179963,ok,,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
ERK_2021_E02,2021,timesat_double_logistic_default_seapar1,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-16T00:00:00,7,7,False,True,True,15.98066520690918,-9.2028347930908208,9.2028347930908208,0.41535954286119031,ok,,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
ERK_2021_E01,2021,timesat_double_logistic_cv_seapar,2021_segment_1,2021-04-08,37.868200000000002,22.156309999999998,matched,,15,False,REC_2021_P001,2021-04-04T00:00:00,-4,4,True,True,True,22.145103454589844,-15.723096545410158,15.723096545410158,0.70964418467741963,ok,,ok,,,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_new,3
ERK_2021_E02,2021,timesat_double_logistic_cv_seapar,2021_segment_1,2021-08-09,25.183499999999999,22.156309999999998,matched,,15,False,REC_2021_P002,2021-08-12T00:00:00,3,3,True,True,True,16.305395126342773,-8.8781048736572252,8.8781048736572252,0.40070322511542877,ok,,ok,,,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_new,3
ERK_2022_E01,2022,linear_interpolation,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P004,2022-08-01T00:00:00,-6,6,False,True,True,18.181899999999999,-39.341999999999999,39.341999999999999,2.3411147340806786,ok,,ok,,,linear_interpolation,,frozen_primary_reused,0
ERK_2022_E02,2022,linear_interpolation,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P006,2022-10-03T00:00:00,7,7,False,True,True,4.6959400000000002,-4.463099999999999,4.463099999999999,0.26558459584351263,ok,,ok,,,linear_interpolation,,frozen_primary_reused,0
ERK_2022_E01,2022,timesat_smoothing_spline,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P005,2022-08-01T00:00:00,-6,6,False,True,True,16.906837463378906,-40.617062536621091,40.617062536621091,2.4169895673722732,ok,,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2022_E02,2022,timesat_smoothing_spline,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,,,timesat_smoothing_spline,,frozen_primary_reused,1
ERK_2022_E01,2022,timesat_double_logistic_default_seapar1,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-06T00:00:00,-1,1,True,True,True,13.600553512573242,-43.923346487426755,43.923346487426755,2.6137357946175994,ok,,ok,,,timesat_double_logistic,1,frozen_primary_reused,2
