event_id,year,method,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason
ERK_2021_E02,2021,timesat_smoothing_spline_selected,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P003,2021-08-08,-1,1,True,True,True,18.565439224243164,-6.6180607757568346,6.6180607757568346,0.29869869015900363,ok,
ERK_2022_E01,2022,linear_interpolation,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P004,2022-08-01,-6,6,False,True,True,18.181899999999999,-39.341999999999999,39.341999999999999,2.3411147340806786,ok,
ERK_2022_E02,2022,linear_interpolation,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P006,2022-10-03,7,7,False,True,True,4.6959400000000002,-4.463099999999999,4.463099999999999,0.26558459584351263,ok,
ERK_2022_E01,2022,timesat_smoothing_spline_0,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P007,2022-08-04,-3,3,True,True,True,20.141380310058594,-37.382519689941404,37.382519689941404,2.2245124203950715,ok,
ERK_2022_E02,2022,timesat_smoothing_spline_0,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P009,2022-10-02,6,6,False,True,True,4.7830715179443359,-4.3759684820556632,4.3759684820556632,0.26039968199921648,ok,
ERK_2022_E01,2022,timesat_smoothing_spline_selected,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P005,2022-08-01,-6,6,False,True,True,16.906837463378906,-40.617062536621091,40.617062536621091,2.4169895673722732,ok,
ERK_2022_E02,2022,timesat_smoothing_spline_selected,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event
ERK_2023_E01,2023,linear_interpolation,2023_segment_1,2023-04-23,15.9877,10.662149899999999,matched,,15,False,REC_2023_P001,2023-04-23,0,0,True,True,True,15.9877,0,0,0,ok,
ERK_2023_E02,2023,linear_interpolation,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P005,2023-07-20,-11,11,False,False,True,10.7149,-5.0117999999999991,5.0117999999999991,0.47005529344508651,ok,
ERK_2023_E03,2023,linear_interpolation,2023_segment_1,2023-09-01,10.2285,10.662149899999999,matched,,15,False,REC_2023_P006,2023-09-05,4,4,True,True,True,7.1104399999999996,-3.1180600000000007,3.1180600000000007,0.29244195863350231,ok,
ERK_2023_E01,2023,timesat_smoothing_spline_0,2023_segment_1,2023-04-23,15.9877,10.662149899999999,matched,,15,False,REC_2023_P001,2023-04-24,1,1,True,True,True,16.042686462402344,0.054986462402343506,0.054986462402343506,0.0051571646354684536,ok,
ERK_2023_E02,2023,timesat_smoothing_spline_0,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P007,2023-07-21,-10,10,False,True,True,10.738092422485352,-4.9886075775146477,4.9886075775146477,0.46788008275091386,ok,
ERK_2023_E03,2023,timesat_smoothing_spline_0,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event
ERK_2023_E01,2023,timesat_smoothing_spline_selected,2023_segment_1,2023-04-23,15.9877,10.662149899999999,matched,,15,False,REC_2023_P001,2023-04-22,-1,1,True,True,True,14.537269592285156,-1.450430407714844,1.450430407714844,0.13603545451136867,ok,
ERK_2023_E02,2023,timesat_smoothing_spline_selected,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P002,2023-07-21,-10,10,False,True,True,10.678133964538574,-5.048566035461425,5.048566035461425,0.47350356943128563,ok,
ERK_2023_E03,2023,timesat_smoothing_spline_selected,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event
ERK_2024_E01,2024,linear_interpolation,2024_segment_1,2024-07-19,14.2628,16.317387499999999,matched,,15,False,REC_2024_P004,2024-07-21,2,2,True,True,True,11.023099999999999,-3.2397000000000009,3.2397000000000009,0.19854281207699462,ok,
ERK_2024_E02,2024,linear_interpolation,2024_segment_1,2024-08-31,35.773899999999998,16.317387499999999,matched,,15,False,REC_2024_P006,2024-09-04,4,4,True,True,True,27.197600000000001,-8.5762999999999963,8.5762999999999963,0.52559271513286043,ok,
ERK_2024_E01,2024,timesat_smoothing_spline_0,2024_segment_1,2024-07-19,14.2628,16.317387499999999,matched,,15,False,REC_2024_P005,2024-07-18,-1,1,True,True,True,12.436853408813477,-1.8259465911865238,1.8259465911865238,0.11190189552013298,ok,
